*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0447975 	0.001000	0.049082  	0.001000	0.0636609 	0.001000	0.0636609 	0.001000	0.0636411 	0.001000	0.0445114 	0.001000	0.00457057	
0.002000	0.0544556 	0.002000	0.0601632 	0.002000	0.0737013 	0.002000	0.0737013 	0.002000	0.0736893 	0.002000	0.0567325 	0.002000	0.00343073	
0.005000	0.0723589 	0.005000	0.0802685 	0.005000	0.0904462 	0.005000	0.0904462 	0.005000	0.0904408 	0.005000	0.0781828 	0.005000	0.00208569	
0.008000	0.0844259 	0.008000	0.0937129 	0.008000	0.100928  	0.008000	0.100928  	0.008000	0.100925  	0.008000	0.0921622 	0.008000	0.0015507 	
0.010000	0.0909533 	0.010000	0.100985  	0.010000	0.106416  	0.010000	0.106416  	0.010000	0.106413  	0.010000	0.0996487 	0.010000	0.00133661	
0.015000	0.109812  	0.015000	0.113127  	0.015000	0.117288  	0.015000	0.117288  	0.015000	0.117296  	0.015000	0.112127  	0.015000	0.000999579	
0.020000	0.125241  	0.020000	0.122649  	0.020000	0.125774  	0.020000	0.125774  	0.020000	0.125772  	0.020000	0.121836  	0.020000	0.000813026	
0.025000	0.137994  	0.025000	0.1304    	0.025000	0.132819  	0.025000	0.132819  	0.025000	0.132818  	0.025000	0.12971   	0.025000	0.000689726	
0.030000	0.148468  	0.030000	0.136828  	0.030000	0.137926  	0.030000	0.137926  	0.030000	0.137925  	0.030000	0.136227  	0.030000	0.000601534	
0.035000	0.156924  	0.035000	0.142204  	0.035000	0.142147  	0.035000	0.142147  	0.035000	0.142146  	0.035000	0.141669  	0.035000	0.000534995	
0.040000	0.163567  	0.040000	0.146707  	0.040000	0.145644  	0.040000	0.145644  	0.040000	0.145643  	0.040000	0.146224  	0.040000	0.000482821	
0.045000	0.168578  	0.045000	0.150469  	0.045000	0.148534  	0.045000	0.148534  	0.045000	0.148533  	0.045000	0.150028  	0.045000	0.0004407 	
0.050000	0.172135  	0.050000	0.153589  	0.050000	0.150903  	0.050000	0.150903  	0.050000	0.150903  	0.050000	0.153183  	0.050000	0.000405909	
0.055000	0.174411  	0.055000	0.156145  	0.055000	0.152821  	0.055000	0.152821  	0.055000	0.15282   	0.055000	0.155768  	0.055000	0.00037664	
0.060000	0.175575  	0.060000	0.158203  	0.060000	0.154342  	0.060000	0.154342  	0.060000	0.154342  	0.060000	0.157852  	0.060000	0.000351639	
0.070000	0.175218  	0.070000	0.161041  	0.070000	0.156371  	0.070000	0.156371  	0.070000	0.156371  	0.070000	0.16073   	0.070000	0.000311102	
0.080000	0.17226   	0.080000	0.162463  	0.080000	0.157286  	0.080000	0.157286  	0.080000	0.157286  	0.080000	0.162183  	0.080000	0.000279565	
0.090000	0.167684  	0.090000	0.162755  	0.090000	0.157312  	0.090000	0.157312  	0.090000	0.157312  	0.090000	0.162501  	0.090000	0.000254265	
0.100000	0.162236  	0.100000	0.162148  	0.100000	0.156631  	0.100000	0.156631  	0.100000	0.15663   	0.100000	0.161915  	0.100000	0.000233478	
0.120000	0.150637  	0.120000	0.15897   	0.120000	0.153704  	0.120000	0.153704  	0.120000	0.153704  	0.120000	0.158769  	0.120000	0.000201255	
0.140000	0.139759  	0.140000	0.154097  	0.140000	0.149402  	0.140000	0.149402  	0.140000	0.149402  	0.140000	0.15392   	0.140000	0.000177353	
0.160000	0.130314  	0.160000	0.148326  	0.160000	0.144338  	0.160000	0.144338  	0.160000	0.144338  	0.160000	0.148167  	0.160000	0.000158859	
0.180000	0.122335  	0.180000	0.142186  	0.180000	0.138932  	0.180000	0.138932  	0.180000	0.138931  	0.180000	0.142042  	0.180000	0.00014409	
0.200000	0.115621  	0.200000	0.136017  	0.200000	0.133458  	0.200000	0.133458  	0.200000	0.133458  	0.200000	0.135885  	0.200000	0.000132001	
0.250000	0.10287   	0.250000	0.121606  	0.250000	0.12047   	0.250000	0.12047   	0.250000	0.12047   	0.250000	0.121496  	0.250000	0.000109531	
0.300000	0.0937786 	0.300000	0.109401  	0.300000	0.109226  	0.300000	0.109226  	0.300000	0.109226  	0.300000	0.109308  	0.300000	9.3952e-05	
0.350000	0.0867974 	0.350000	0.0993951 	0.350000	0.0998329 	0.350000	0.0998329 	0.350000	0.0998329 	0.350000	0.0993127 	0.350000	8.24698e-05	
0.400000	0.0811361 	0.400000	0.0912192 	0.400000	0.0920424 	0.400000	0.0920424 	0.400000	0.0920424 	0.400000	0.0911456 	0.400000	7.36311e-05	
0.450000	0.0763715 	0.450000	0.0844819 	0.450000	0.0855471 	0.450000	0.0855471 	0.450000	0.0855471 	0.450000	0.0844153 	0.450000	6.66025e-05	
0.500000	0.0722591 	0.500000	0.0788569 	0.500000	0.0800745 	0.500000	0.0800745 	0.500000	0.0800745 	0.500000	0.078796  	0.500000	6.08701e-05	
0.600000	0.0654323 	0.600000	0.0700031 	0.600000	0.071375  	0.600000	0.071375  	0.600000	0.071375  	0.600000	0.069951  	0.600000	5.20632e-05	
0.700000	0.0599297 	0.700000	0.0633178 	0.700000	0.0647431 	0.700000	0.0647431 	0.700000	0.0647431 	0.700000	0.0632722 	0.700000	4.55954e-05	
0.800000	0.0553657 	0.800000	0.0580479 	0.800000	0.0594805 	0.800000	0.0594805 	0.800000	0.0594805 	0.800000	0.0580073 	0.800000	4.0631e-05	
0.900000	0.051504  	0.900000	0.0537532 	0.900000	0.0551707 	0.900000	0.0551707 	0.900000	0.0551707 	0.900000	0.0537165 	0.900000	3.66927e-05	
1.000000	0.0481865 	1.000000	0.050163  	1.000000	0.0515538 	1.000000	0.0515538 	1.000000	0.0515538 	1.000000	0.0501295 	1.000000	3.34874e-05	
1.250000	0.0416108 	1.250000	0.0432508 	1.250000	0.0445556 	1.250000	0.0445556 	1.250000	0.0445557 	1.250000	0.0432232 	1.250000	2.7576e-05	
