*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0950435 	0.001000	0.0252033 	0.001000	0.0279209 	0.001000	0.0279209 	0.001000	0.0206137 	0.001000	0.00458956	
0.002000	0.113234  	0.002000	0.0319761 	0.002000	0.0356885 	0.002000	0.0356885 	0.002000	0.0281592 	0.002000	0.00381697	
0.005000	0.14871   	0.005000	0.0451398 	0.005000	0.0507467 	0.005000	0.0507467 	0.005000	0.0425297 	0.005000	0.0026101 	
0.008000	0.173036  	0.008000	0.0545847 	0.008000	0.061512  	0.008000	0.061512  	0.008000	0.0525468 	0.008000	0.00203782	
0.010000	0.186299  	0.010000	0.0598901 	0.010000	0.0675492 	0.010000	0.0675492 	0.010000	0.0580973 	0.010000	0.00179278	
0.015000	0.224697  	0.015000	0.076907  	0.015000	0.0803174 	0.015000	0.0803174 	0.015000	0.0755081 	0.015000	0.00139888	
0.020000	0.256158  	0.020000	0.0905915 	0.020000	0.0909866 	0.020000	0.0909866 	0.020000	0.0894309 	0.020000	0.00116066	
0.025000	0.282178  	0.025000	0.101394  	0.025000	0.100309  	0.025000	0.100309  	0.025000	0.100399  	0.025000	0.000994952	
0.030000	0.303556  	0.030000	0.110066  	0.030000	0.109907  	0.030000	0.109907  	0.030000	0.109188  	0.030000	0.000877361	
0.035000	0.320817  	0.035000	0.117237  	0.035000	0.118047  	0.035000	0.118047  	0.035000	0.11645   	0.035000	0.000787161	
0.040000	0.334376  	0.040000	0.123312  	0.040000	0.124518  	0.040000	0.124518  	0.040000	0.122597  	0.040000	0.000715499	
0.045000	0.344606  	0.045000	0.128525  	0.045000	0.129428  	0.045000	0.129428  	0.045000	0.127868  	0.045000	0.00065702	
0.050000	0.351866  	0.050000	0.13301   	0.050000	0.133068  	0.050000	0.133068  	0.050000	0.132405  	0.050000	0.000604969	
