*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0569528 	0.001000	0.0328516 	0.001000	0.0318775 	0.001000	0.0318775 	0.001000	0.0318623 	0.001000	0.0271127 	0.001000	0.00573883	
0.002000	0.0670829 	0.002000	0.0412473 	0.002000	0.0399166 	0.002000	0.0399166 	0.002000	0.0399077 	0.002000	0.0370371 	0.002000	0.00421026	
0.005000	0.0875061 	0.005000	0.0584387 	0.005000	0.0564288 	0.005000	0.0564288 	0.005000	0.0564248 	0.005000	0.0559384 	0.005000	0.00250033	
0.008000	0.10171   	0.008000	0.0709557 	0.008000	0.0684724 	0.008000	0.0684724 	0.008000	0.0684699 	0.008000	0.0691136 	0.008000	0.00184207	
0.010000	0.10946   	0.010000	0.0779959 	0.010000	0.0752502 	0.010000	0.0752502 	0.010000	0.0752482 	0.010000	0.076414  	0.010000	0.00158181	
0.015000	0.13195   	0.015000	0.0921343 	0.015000	0.0895906 	0.015000	0.0895906 	0.015000	0.0895893 	0.015000	0.0909579 	0.015000	0.00117636	
0.020000	0.150391  	0.020000	0.102829  	0.020000	0.101587  	0.020000	0.101587  	0.020000	0.101586  	0.020000	0.101876  	0.020000	0.000952938	
0.025000	0.165647  	0.025000	0.111013  	0.025000	0.11207   	0.025000	0.11207   	0.025000	0.112069  	0.025000	0.110206  	0.025000	0.0008062 	
0.030000	0.178183  	0.030000	0.117233  	0.030000	0.117439  	0.030000	0.117439  	0.030000	0.117438  	0.030000	0.116532  	0.030000	0.00070169	
0.035000	0.188307  	0.035000	0.121873  	0.035000	0.121508  	0.035000	0.121508  	0.035000	0.121508  	0.035000	0.12125   	0.035000	0.000623086	
0.040000	0.196259  	0.040000	0.125226  	0.040000	0.124524  	0.040000	0.124524  	0.040000	0.124524  	0.040000	0.124664  	0.040000	0.0005616 	
0.045000	0.202259  	0.045000	0.127533  	0.045000	0.126677  	0.045000	0.126677  	0.045000	0.126676  	0.045000	0.127021  	0.045000	0.000512059	
0.050000	0.206516  	0.050000	0.128995  	0.050000	0.128119  	0.050000	0.128119  	0.050000	0.128119  	0.050000	0.128524  	0.050000	0.000471205	
0.055000	0.209238  	0.055000	0.129781  	0.055000	0.128977  	0.055000	0.128977  	0.055000	0.128977  	0.055000	0.129344  	0.055000	0.000436882	
0.060000	0.210629  	0.060000	0.130032  	0.060000	0.129359  	0.060000	0.129359  	0.060000	0.129358  	0.060000	0.129624  	0.060000	0.000407599	
0.070000	0.210192  	0.070000	0.129378  	0.070000	0.129033  	0.070000	0.129033  	0.070000	0.129033  	0.070000	0.129017  	0.070000	0.000360189	
0.080000	0.206637  	0.080000	0.127735  	0.080000	0.127703  	0.080000	0.127703  	0.080000	0.127702  	0.080000	0.127411  	0.080000	0.000323366	
0.090000	0.201144  	0.090000	0.125557  	0.090000	0.125758  	0.090000	0.125758  	0.090000	0.125758  	0.090000	0.125263  	0.090000	0.000293866	
0.100000	0.194605  	0.100000	0.123126  	0.100000	0.123468  	0.100000	0.123468  	0.100000	0.123468  	0.100000	0.122856  	0.100000	0.000269655	
0.120000	0.180689  	0.120000	0.118105  	0.120000	0.118501  	0.120000	0.118501  	0.120000	0.118501  	0.120000	0.117873  	0.120000	0.000232177	
0.140000	0.167638  	0.140000	0.113313  	0.140000	0.113584  	0.140000	0.113584  	0.140000	0.113584  	0.140000	0.113108  	0.140000	0.000204418	
0.160000	0.156309  	0.160000	0.108913  	0.160000	0.108999  	0.160000	0.108999  	0.160000	0.108999  	0.160000	0.10873   	0.160000	0.000182966	
0.180000	0.146736  	0.180000	0.104911  	0.180000	0.104815  	0.180000	0.104815  	0.180000	0.104815  	0.180000	0.104745  	0.180000	0.000165851	
0.200000	0.138682  	0.200000	0.101265  	0.200000	0.101017  	0.200000	0.101017  	0.200000	0.101017  	0.200000	0.101113  	0.200000	0.000151854	
0.250000	0.123387  	0.250000	0.0934057 	0.250000	0.0929343 	0.250000	0.0929343 	0.250000	0.0929342 	0.250000	0.0932799 	0.250000	0.000125868	
0.300000	0.11248   	0.300000	0.0869025 	0.300000	0.086371  	0.300000	0.086371  	0.300000	0.086371  	0.300000	0.0867946 	0.300000	0.000107876	
0.350000	0.104106  	0.350000	0.0813873 	0.350000	0.0808811 	0.350000	0.0808811 	0.350000	0.0808811 	0.350000	0.0812927 	0.350000	9.46286e-05	
0.400000	0.0973152 	0.400000	0.0766278 	0.400000	0.0761834 	0.400000	0.0761834 	0.400000	0.0761834 	0.400000	0.0765434 	0.400000	8.444e-05 	
0.450000	0.0916001 	0.450000	0.0724666 	0.450000	0.0720954 	0.450000	0.0720954 	0.450000	0.0720954 	0.450000	0.0723903 	0.450000	7.63437e-05	
0.500000	0.0866673 	0.500000	0.0687909 	0.500000	0.0684923 	0.500000	0.0684923 	0.500000	0.0684923 	0.500000	0.0687211 	0.500000	6.97445e-05	
