*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.231088  	0.001000	0.0617572 	0.001000	0.0649642 	0.001000	0.0649642 	0.001000	0.0649568 	0.001000	0.0362643 	0.001000	0.0254929 	
0.002000	0.29528   	0.002000	0.0848446 	0.002000	0.0903938 	0.002000	0.0903938 	0.002000	0.0903885 	0.002000	0.0627559 	0.002000	0.0220887 	
0.005000	0.456837  	0.005000	0.138741  	0.005000	0.149611  	0.005000	0.149611  	0.005000	0.149608  	0.005000	0.122934  	0.005000	0.0158065 	
0.008000	0.57792   	0.008000	0.18095   	0.008000	0.195838  	0.008000	0.195838  	0.008000	0.195837  	0.008000	0.168382  	0.008000	0.012568  	
0.010000	0.644716  	0.010000	0.205103  	0.010000	0.222253  	0.010000	0.222253  	0.010000	0.222252  	0.010000	0.193963  	0.010000	0.0111402 	
0.015000	0.822571  	0.015000	0.274116  	0.015000	0.278678  	0.015000	0.278678  	0.015000	0.278677  	0.015000	0.265319  	0.015000	0.00879699	
0.020000	0.971366  	0.020000	0.327707  	0.020000	0.326457  	0.020000	0.326457  	0.020000	0.326457  	0.020000	0.320355  	0.020000	0.0073523 	
0.025000	1.09824   	0.025000	0.370366  	0.025000	0.369011  	0.025000	0.369011  	0.025000	0.369011  	0.025000	0.364007  	0.025000	0.00635901	
0.030000	1.207     	0.030000	0.406148  	0.030000	0.416338  	0.030000	0.416338  	0.030000	0.416337  	0.030000	0.40052   	0.030000	0.00562798	
0.035000	1.29996   	0.035000	0.437438  	0.035000	0.449007  	0.035000	0.449007  	0.035000	0.449007  	0.035000	0.432374  	0.035000	0.00506423	
