*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	3.06261e-06	0.001000	1.68039e-06	0.001000	1.99042e-06	0.001000	1.99042e-06	0.001000	1.99026e-06	0.001000	8.07641e-07	0.001000	8.72753e-07	
0.002000	3.91336e-06	0.002000	2.00952e-06	0.002000	2.49236e-06	0.002000	2.49236e-06	0.002000	2.49227e-06	0.002000	1.36338e-06	0.002000	6.46136e-07	
0.005000	6.05447e-06	0.005000	2.97635e-06	0.005000	3.81015e-06	0.005000	3.81015e-06	0.005000	3.81011e-06	0.005000	2.58892e-06	0.005000	3.87434e-07	
0.008000	7.65918e-06	0.008000	3.77891e-06	0.008000	4.85613e-06	0.008000	4.85613e-06	0.008000	4.8561e-06	0.008000	3.49238e-06	0.008000	2.86532e-07	
0.010000	8.54444e-06	0.010000	4.24068e-06	0.010000	5.44945e-06	0.010000	5.44945e-06	0.010000	5.44943e-06	0.010000	3.99462e-06	0.010000	2.46058e-07	
0.015000	1.09015e-05	0.015000	5.87998e-06	0.015000	6.70372e-06	0.015000	6.70372e-06	0.015000	6.70371e-06	0.015000	5.69627e-06	0.015000	1.83703e-07	
0.020000	1.28735e-05	0.020000	7.35977e-06	0.020000	7.75509e-06	0.020000	7.75509e-06	0.020000	7.75509e-06	0.020000	7.2107e-06	0.020000	1.49072e-07	
0.025000	1.45549e-05	0.025000	8.59838e-06	0.025000	8.68382e-06	0.025000	8.68382e-06	0.025000	8.68382e-06	0.025000	8.47212e-06	0.025000	1.26267e-07	
0.030000	1.59964e-05	0.030000	9.5841e-06	0.030000	9.26498e-06	0.030000	9.26498e-06	0.030000	9.26498e-06	0.030000	9.47411e-06	0.030000	1.09995e-07	
0.035000	1.72284e-05	0.035000	1.03578e-05	0.035000	9.78409e-06	0.035000	9.78409e-06	0.035000	9.78409e-06	0.035000	1.026e-05 	0.035000	9.77395e-08	
0.040000	1.82721e-05	0.040000	1.09782e-05	0.040000	1.02567e-05	0.040000	1.02567e-05	0.040000	1.02567e-05	0.040000	1.08901e-05	0.040000	8.81434e-08	
0.045000	1.91444e-05	0.045000	1.14968e-05	0.045000	1.06927e-05	0.045000	1.06927e-05	0.045000	1.06927e-05	0.045000	1.14164e-05	0.045000	8.0405e-08	
0.050000	1.98604e-05	0.050000	1.19492e-05	0.050000	1.10985e-05	0.050000	1.10985e-05	0.050000	1.10985e-05	0.050000	1.18752e-05	0.050000	7.40192e-08	
0.055000	2.0435e-05	0.055000	1.23568e-05	0.055000	1.14787e-05	0.055000	1.14787e-05	0.055000	1.14787e-05	0.055000	1.22882e-05	0.055000	6.86509e-08	
0.060000	2.08827e-05	0.060000	1.27316e-05	0.060000	1.18363e-05	0.060000	1.18363e-05	0.060000	1.18363e-05	0.060000	1.26675e-05	0.060000	6.40688e-08	
0.070000	2.14553e-05	0.070000	1.34047e-05	0.070000	1.24921e-05	0.070000	1.24921e-05	0.070000	1.24921e-05	0.070000	1.33481e-05	0.070000	5.66453e-08	
0.080000	2.16894e-05	0.080000	1.39907e-05	0.080000	1.30778e-05	0.080000	1.30778e-05	0.080000	1.30778e-05	0.080000	1.39399e-05	0.080000	5.08754e-08	
0.090000	2.16837e-05	0.090000	1.44972e-05	0.090000	1.36004e-05	0.090000	1.36004e-05	0.090000	1.36004e-05	0.090000	1.44509e-05	0.090000	4.62502e-08	
0.100000	2.15187e-05	0.100000	1.49293e-05	0.100000	1.40646e-05	0.100000	1.40646e-05	0.100000	1.40646e-05	0.100000	1.48869e-05	0.100000	4.24525e-08	
0.120000	2.09401e-05	0.120000	1.55937e-05	0.120000	1.48325e-05	0.120000	1.48325e-05	0.120000	1.48325e-05	0.120000	1.55571e-05	0.120000	3.65702e-08	
0.140000	2.02568e-05	0.140000	1.60322e-05	0.140000	1.54074e-05	0.140000	1.54074e-05	0.140000	1.54074e-05	0.140000	1.6e-05   	0.140000	3.22105e-08	
0.160000	1.95978e-05	0.160000	1.62918e-05	0.160000	1.58135e-05	0.160000	1.58135e-05	0.160000	1.58135e-05	0.160000	1.62629e-05	0.160000	2.88395e-08	
0.180000	1.9004e-05	0.180000	1.64124e-05	0.180000	1.6075e-05	0.180000	1.6075e-05	0.180000	1.6075e-05	0.180000	1.63862e-05	0.180000	2.61489e-08	
