*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	2.59208e-06	0.001000	3.12703e-06	0.001000	3.88614e-06	0.001000	3.88614e-06	0.001000	1.64968e-06	0.001000	1.47735e-06	
0.002000	3.31212e-06	0.002000	3.63778e-06	0.002000	4.60299e-06	0.002000	4.60299e-06	0.002000	2.66361e-06	0.002000	9.7417e-07	
0.005000	5.12428e-06	0.005000	5.27741e-06	0.005000	6.4347e-06	0.005000	6.4347e-06	0.005000	4.76097e-06	0.005000	5.16442e-07	
0.008000	6.48245e-06	0.008000	6.58722e-06	0.008000	7.74447e-06	0.008000	7.74447e-06	0.008000	6.22167e-06	0.008000	3.65553e-07	
0.010000	7.2317e-06	0.010000	7.31742e-06	0.010000	8.43763e-06	0.010000	8.43763e-06	0.010000	7.00873e-06	0.010000	3.0869e-07	
0.015000	9.22667e-06	0.015000	9.25755e-06	0.015000	9.80785e-06	0.015000	9.80785e-06	0.015000	9.03207e-06	0.015000	2.25475e-07	
0.020000	1.08957e-05	0.020000	1.06314e-05	0.020000	1.08762e-05	0.020000	1.08762e-05	0.020000	1.04518e-05	0.020000	1.79579e-07	
0.025000	1.23188e-05	0.025000	1.18232e-05	0.025000	1.17759e-05	0.025000	1.17759e-05	0.025000	1.1673e-05	0.025000	1.50162e-07	
0.030000	1.35388e-05	0.030000	1.30436e-05	0.030000	1.27785e-05	0.030000	1.27785e-05	0.030000	1.29141e-05	0.030000	1.2956e-07	
0.035000	1.45815e-05	0.035000	1.42875e-05	0.035000	1.36811e-05	0.035000	1.36811e-05	0.035000	1.41732e-05	0.035000	1.14259e-07	
0.040000	1.54648e-05	0.040000	1.55031e-05	0.040000	1.45056e-05	0.040000	1.45056e-05	0.040000	1.54007e-05	0.040000	1.02407e-07	
0.045000	1.62031e-05	0.045000	1.66525e-05	0.045000	1.52663e-05	0.045000	1.52663e-05	0.045000	1.65595e-05	0.045000	9.29341e-08	
0.050000	1.68091e-05	0.050000	1.77153e-05	0.050000	1.59727e-05	0.050000	1.59727e-05	0.050000	1.76301e-05	0.050000	8.5175e-08	
0.055000	1.72954e-05	0.055000	1.86836e-05	0.055000	1.66316e-05	0.055000	1.66316e-05	0.055000	1.86049e-05	0.055000	7.86936e-08	
0.060000	1.76743e-05	0.060000	1.9557e-05	0.060000	1.72476e-05	0.060000	1.72476e-05	0.060000	1.94838e-05	0.060000	7.31917e-08	
0.070000	1.81589e-05	0.070000	2.10344e-05	0.070000	1.83639e-05	0.070000	1.83639e-05	0.070000	2.09701e-05	0.070000	6.43391e-08	
0.080000	1.83571e-05	0.080000	2.21938e-05	0.080000	1.93406e-05	0.080000	1.93406e-05	0.080000	2.21363e-05	0.080000	5.75121e-08	
0.090000	1.83523e-05	0.090000	2.30879e-05	0.090000	2.01899e-05	0.090000	2.01899e-05	0.090000	2.30359e-05	0.090000	5.20747e-08	
