*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.054085  	0.001000	0.054085  	0.001000	0.079995  	0.001000	0.079995  	0.001000	0.0328055 	0.001000	0.0212795 	
0.002000	0.0672279 	0.002000	0.0672279 	0.002000	0.102714  	0.002000	0.102714  	0.002000	0.0529686 	0.002000	0.0142593 	
0.005000	0.102424  	0.005000	0.102424  	0.005000	0.152008  	0.005000	0.152008  	0.005000	0.0946766 	0.005000	0.00774709	
0.008000	0.12919   	0.008000	0.12919   	0.008000	0.185332  	0.008000	0.185332  	0.008000	0.123724  	0.008000	0.0054663 	
0.010000	0.144003  	0.010000	0.144003  	0.010000	0.202776  	0.010000	0.202776  	0.010000	0.139375  	0.010000	0.00462783	
0.015000	0.183545  	0.015000	0.183545  	0.015000	0.23697   	0.015000	0.23697   	0.015000	0.180151  	0.015000	0.00339386	
0.020000	0.21666   	0.020000	0.21666   	0.020000	0.263446  	0.020000	0.263446  	0.020000	0.21395   	0.020000	0.00270963	
0.025000	0.244908  	0.025000	0.244908  	0.025000	0.285654  	0.025000	0.285654  	0.025000	0.242639  	0.025000	0.00226962	
0.030000	0.269131  	0.030000	0.269131  	0.030000	0.296589  	0.030000	0.296589  	0.030000	0.26717   	0.030000	0.00196074	
0.035000	0.289836  	0.035000	0.289836  	0.035000	0.305249  	0.035000	0.305249  	0.035000	0.288106  	0.035000	0.00173092	
0.040000	0.307379  	0.040000	0.307379  	0.040000	0.312222  	0.040000	0.312222  	0.040000	0.305826  	0.040000	0.00155267	
0.045000	0.32204   	0.045000	0.32204   	0.045000	0.317887  	0.045000	0.317887  	0.045000	0.32063   	0.045000	0.00141004	
0.050000	0.334076  	0.050000	0.334076  	0.050000	0.322502  	0.050000	0.322502  	0.050000	0.332783  	0.050000	0.0012931 	
0.055000	0.343734  	0.055000	0.343734  	0.055000	0.326254  	0.055000	0.326254  	0.055000	0.342539  	0.055000	0.00119533	
0.060000	0.351259  	0.060000	0.351259  	0.060000	0.329282  	0.060000	0.329282  	0.060000	0.350146  	0.060000	0.00111228	
0.070000	0.360881  	0.070000	0.360881  	0.070000	0.333582  	0.070000	0.333582  	0.070000	0.359903  	0.070000	0.000978524	
0.080000	0.364814  	0.080000	0.364814  	0.080000	0.336048  	0.080000	0.336048  	0.080000	0.363939  	0.080000	0.000875267	
0.090000	0.364713  	0.090000	0.364713  	0.090000	0.337129  	0.090000	0.337129  	0.090000	0.36392   	0.090000	0.000792958	
0.100000	0.361936  	0.100000	0.361936  	0.100000	0.337157  	0.100000	0.337157  	0.100000	0.361211  	0.100000	0.000725692	
0.120000	0.3522    	0.120000	0.3522    	0.120000	0.335006  	0.120000	0.335006  	0.120000	0.351578  	0.120000	0.000622091	
0.140000	0.340703  	0.140000	0.340703  	0.140000	0.331     	0.140000	0.331     	0.140000	0.340158  	0.140000	0.000545793	
0.160000	0.329619  	0.160000	0.329619  	0.160000	0.325976  	0.160000	0.325976  	0.160000	0.329132  	0.160000	0.000487098	
0.180000	0.31963   	0.180000	0.31963   	0.180000	0.320425  	0.180000	0.320425  	0.180000	0.319189  	0.180000	0.000440447	
0.200000	0.310787  	0.200000	0.310787  	0.200000	0.31463   	0.200000	0.31463   	0.200000	0.310385  	0.200000	0.000402418	
0.250000	0.292534  	0.250000	0.292534  	0.250000	0.299965  	0.250000	0.299965  	0.250000	0.292202  	0.250000	0.000332126	
0.300000	0.277628  	0.300000	0.277628  	0.300000	0.285732  	0.300000	0.285732  	0.300000	0.277344  	0.300000	0.00028371	
0.350000	0.264487  	0.350000	0.264487  	0.350000	0.272234  	0.350000	0.272234  	0.350000	0.264239  	0.350000	0.000248209	
0.400000	0.252451  	0.400000	0.252451  	0.400000	0.259567  	0.400000	0.259567  	0.400000	0.25223   	0.400000	0.000220995	
0.450000	0.241274  	0.450000	0.241274  	0.450000	0.24776   	0.450000	0.24776   	0.450000	0.241075  	0.450000	0.000199428	
0.500000	0.230861  	0.500000	0.230861  	0.500000	0.236805  	0.500000	0.236805  	0.500000	0.230679  	0.500000	0.000181891	
0.600000	0.212151  	0.600000	0.212151  	0.600000	0.217306  	0.600000	0.217306  	0.600000	0.211996  	0.600000	0.000155046	
0.700000	0.195996  	0.700000	0.195996  	0.700000	0.200666  	0.700000	0.200666  	0.700000	0.195861  	0.700000	0.000135411	
0.800000	0.18205   	0.800000	0.18205   	0.800000	0.18642   	0.800000	0.18642   	0.800000	0.181929  	0.800000	0.00012039	
0.900000	0.169961  	0.900000	0.169961  	0.900000	0.174142  	0.900000	0.174142  	0.900000	0.169852  	0.900000	0.000108508	
