*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.136861  	0.001000	0.126485  	0.001000	0.138861  	0.001000	0.138861  	0.001000	0.07211   	0.001000	0.0543748 	
0.002000	0.1579    	0.002000	0.143403  	0.002000	0.157309  	0.002000	0.157309  	0.002000	0.105575  	0.002000	0.0378277 	
0.005000	0.220321  	0.005000	0.196064  	0.005000	0.210225  	0.005000	0.210225  	0.005000	0.174755  	0.005000	0.0213096 	
0.008000	0.273239  	0.008000	0.241545  	0.008000	0.2542    	0.008000	0.2542    	0.008000	0.226305  	0.008000	0.0152393 	
0.010000	0.304787  	0.010000	0.268838  	0.010000	0.280149  	0.010000	0.280149  	0.010000	0.255856  	0.010000	0.0129822 	
0.015000	0.357735  	0.015000	0.318848  	0.015000	0.322674  	0.015000	0.322674  	0.015000	0.309235  	0.015000	0.00961269	
0.020000	0.399283  	0.020000	0.361362  	0.020000	0.357141  	0.020000	0.357141  	0.020000	0.353643  	0.020000	0.00771925	
0.025000	0.444505  	0.025000	0.400604  	0.025000	0.389687  	0.025000	0.389687  	0.025000	0.394113  	0.025000	0.0064917 	
0.030000	0.481174  	0.030000	0.436099  	0.030000	0.425552  	0.030000	0.425552  	0.030000	0.430474  	0.030000	0.00562511	
0.035000	0.510508  	0.035000	0.468585  	0.035000	0.45892   	0.035000	0.45892   	0.035000	0.463608  	0.035000	0.0049776 	
0.040000	0.533011  	0.040000	0.498647  	0.040000	0.489909  	0.040000	0.489909  	0.040000	0.494174  	0.040000	0.0044737 	
0.045000	0.549045  	0.045000	0.526396  	0.045000	0.518607  	0.045000	0.518607  	0.045000	0.522327  	0.045000	0.00406937	
0.050000	0.559068  	0.050000	0.551926  	0.050000	0.54509   	0.050000	0.54509   	0.050000	0.548189  	0.050000	0.00373711	
0.055000	0.581305  	0.055000	0.575325  	0.055000	0.569433  	0.055000	0.569433  	0.055000	0.571866  	0.055000	0.00345878	
0.060000	0.599796  	0.060000	0.59668   	0.060000	0.591711  	0.060000	0.591711  	0.060000	0.593458  	0.060000	0.00322194	
0.070000	0.626732  	0.070000	0.633618  	0.070000	0.630399  	0.070000	0.630399  	0.070000	0.630778  	0.070000	0.0028397 	
0.080000	0.65561   	0.080000	0.663484  	0.080000	0.661853  	0.080000	0.661853  	0.080000	0.660941  	0.080000	0.00254389	
0.090000	0.676424  	0.090000	0.687058  	0.090000	0.686827  	0.090000	0.686827  	0.090000	0.68475   	0.090000	0.00230761	
0.100000	0.691788  	0.100000	0.705319  	0.100000	0.706099  	0.100000	0.706099  	0.100000	0.703205  	0.100000	0.00211418	
0.120000	0.701542  	0.120000	0.736892  	0.120000	0.730566  	0.120000	0.730566  	0.120000	0.735077  	0.120000	0.00181566	
0.140000	0.703236  	0.140000	0.753374  	0.140000	0.740814  	0.140000	0.740814  	0.140000	0.751779  	0.140000	0.0015953 	
0.160000	0.703292  	0.160000	0.760451  	0.160000	0.741373  	0.160000	0.741373  	0.160000	0.759025  	0.160000	0.00142546	
0.180000	0.702431  	0.180000	0.759373  	0.180000	0.73565   	0.180000	0.73565   	0.180000	0.758082  	0.180000	0.00129027	
0.200000	0.704289  	0.200000	0.756006  	0.200000	0.726078  	0.200000	0.726078  	0.200000	0.754826  	0.200000	0.00117991	
0.250000	0.689874  	0.250000	0.737263  	0.250000	0.694887  	0.250000	0.694887  	0.250000	0.736288  	0.250000	0.000975556	
0.300000	0.68762   	0.300000	0.723558  	0.300000	0.666675  	0.300000	0.666675  	0.300000	0.722724  	0.300000	0.000834499	
0.350000	0.679626  	0.350000	0.702699  	0.350000	0.640361  	0.350000	0.640361  	0.350000	0.701969  	0.350000	0.000730893	
0.400000	0.668152  	0.400000	0.680065  	0.400000	0.615308  	0.400000	0.615308  	0.400000	0.679413  	0.400000	0.000651361	
0.450000	0.653051  	0.450000	0.656081  	0.450000	0.591584  	0.450000	0.591584  	0.450000	0.655492  	0.450000	0.000588263	
0.500000	0.638369  	0.500000	0.634741  	0.500000	0.570222  	0.500000	0.570222  	0.500000	0.634204  	0.500000	0.000536904	
0.600000	0.585848  	0.600000	0.594279  	0.600000	0.533215  	0.600000	0.533215  	0.600000	0.59382   	0.600000	0.000458188	
0.700000	0.533265  	0.700000	0.555957  	0.700000	0.501957  	0.700000	0.501957  	0.700000	0.555556  	0.700000	0.000400536	
0.800000	0.510028  	0.800000	0.528143  	0.800000	0.474882  	0.800000	0.474882  	0.800000	0.527786  	0.800000	0.000356384	
0.900000	0.485271  	0.900000	0.500271  	0.900000	0.450978  	0.900000	0.450978  	0.900000	0.499949  	0.900000	0.000321424	
1.000000	0.4607    	1.000000	0.473491  	1.000000	0.42849   	1.000000	0.42849   	1.000000	0.473198  	1.000000	0.000293015	
1.250000	0.404344  	1.250000	0.414923  	1.250000	0.3822    	1.250000	0.3822    	1.250000	0.414682  	1.250000	0.000240738	
1.500000	0.35106   	1.500000	0.36022   	1.500000	0.34555   	1.500000	0.34555   	1.500000	0.360015  	1.500000	0.000204922	
1.750000	0.312008  	1.750000	0.320715  	1.750000	0.315291  	1.750000	0.315291  	1.750000	0.320536  	1.750000	0.000178769	
2.000000	0.281812  	2.000000	0.290449  	2.000000	0.289763  	2.000000	0.289763  	2.000000	0.29029   	2.000000	0.000158789	
2.250000	0.257972  	2.250000	0.266268  	2.250000	0.26785   	2.250000	0.26785   	2.250000	0.266125  	2.250000	0.000143001	
2.500000	0.230236  	2.500000	0.246341  	2.500000	0.248876  	2.500000	0.248876  	2.500000	0.246211  	2.500000	0.000130194	
3.000000	0.2023    	3.000000	0.215084  	3.000000	0.217789  	3.000000	0.217789  	3.000000	0.214974  	3.000000	0.000110649	
3.500000	0.180773  	3.500000	0.191402  	3.500000	0.193528  	3.500000	0.193528  	3.500000	0.191305  	3.500000	9.64025e-05	
4.000000	0.163646  	4.000000	0.172691  	4.000000	0.174164  	4.000000	0.174164  	4.000000	0.172605  	4.000000	8.55352e-05	
4.500000	0.149678  	4.500000	0.157482  	4.500000	0.158401  	4.500000	0.158401  	4.500000	0.157405  	4.500000	7.69588e-05	
5.000000	0.138056  	5.000000	0.144859  	5.000000	0.145345  	5.000000	0.145345  	5.000000	0.144789  	5.000000	7.00096e-05	
5.500000	0.128224  	5.500000	0.134207  	5.500000	0.134366  	5.500000	0.134366  	5.500000	0.134143  	5.500000	6.42592e-05	
6.000000	0.119793  	6.000000	0.125094  	6.000000	0.125007  	6.000000	0.125007  	6.000000	0.125035  	6.000000	5.94182e-05	
6.500000	0.112479  	6.500000	0.117206  	6.500000	0.116936  	6.500000	0.116936  	6.500000	0.11715   	6.500000	5.52839e-05	
7.000000	0.106069  	7.000000	0.110308  	7.000000	0.109904  	7.000000	0.109904  	7.000000	0.110257  	7.000000	5.17103e-05	
7.500000	0.100404  	7.500000	0.104224  	7.500000	0.103719  	7.500000	0.103719  	7.500000	0.104176  	7.500000	4.85889e-05	
8.000000	0.0953575 	8.000000	0.0988153 	8.000000	0.0982355 	8.000000	0.0982355 	8.000000	0.0987695 	8.000000	4.5838e-05	
8.500000	0.0908327 	8.500000	0.0939734 	8.500000	0.093339  	8.500000	0.093339  	8.500000	0.09393   	8.500000	4.33944e-05	
9.000000	0.0867512 	9.000000	0.0896122 	9.000000	0.088938  	9.000000	0.088938  	9.000000	0.089571  	9.000000	4.12086e-05	
9.500000	0.0830497 	9.500000	0.0856623 	9.500000	0.0849596 	9.500000	0.0849596 	9.500000	0.085623  	9.500000	3.92414e-05	
10.000000	0.0796766 	10.000000	0.0809985 	10.000000	0.0813443 	10.000000	0.0813443 	10.000000	0.080961  	10.000000	3.74611e-05	
11.000000	0.0737525 	11.000000	0.0750668 	11.000000	0.0749567 	11.000000	0.0749685 	11.000000	0.0750325 	11.000000	3.43626e-05	
12.000000	0.0687152 	12.000000	0.0700027 	12.000000	0.069574  	12.000000	0.0695934 	12.000000	0.069971  	12.000000	3.1756e-05	
13.000000	0.0643764 	13.000000	0.0656267 	13.000000	0.0649758 	13.000000	0.0649996 	13.000000	0.0655971 	13.000000	2.95314e-05	
14.000000	0.0605981 	14.000000	0.0618056 	14.000000	0.0610024 	14.000000	0.0610281 	14.000000	0.061778  	14.000000	2.76096e-05	
15.000000	0.0572765 	15.000000	0.058439  	15.000000	0.0575349 	15.000000	0.0575605 	15.000000	0.058413  	15.000000	2.5932e-05	
16.000000	0.0543323 	16.000000	0.0554491 	16.000000	0.054482  	16.000000	0.0545071 	16.000000	0.0554246 	16.000000	2.44542e-05	
17.000000	0.0517035 	17.000000	0.0527751 	17.000000	0.0517739 	17.000000	0.0517985 	17.000000	0.052752  	17.000000	2.31421e-05	
18.000000	0.0493412 	18.000000	0.0503689 	18.000000	0.0493571 	18.000000	0.0493801 	18.000000	0.0503469 	18.000000	2.19689e-05	
19.000000	0.0472062 	19.000000	0.0481915 	19.000000	0.0471874 	19.000000	0.0472084 	19.000000	0.0481706 	19.000000	2.09135e-05	
20.000000	0.0452666 	20.000000	0.0462113 	20.000000	0.0452281 	20.000000	0.0452483 	20.000000	0.0461913 	20.000000	1.99587e-05	
21.000000	0.0434963 	21.000000	0.0444023 	21.000000	0.0434516 	21.000000	0.0434711 	21.000000	0.0443832 	21.000000	1.90906e-05	
22.000000	0.0418736 	22.000000	0.0427428 	22.000000	0.041836  	22.000000	0.0418532 	22.000000	0.0427245 	22.000000	1.82978e-05	
23.000000	0.0403806 	23.000000	0.0412148 	23.000000	0.040361  	23.000000	0.0403747 	23.000000	0.0411973 	23.000000	1.75707e-05	
