*! 9Li energy loss (dE/dX) in C
*! apply ZOOM for details
*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.131201  	0.001000	0.120727  	0.001000	0.170383  	0.001000	0.170383  	0.001000	0.170335  	0.001000	0.064925  	0.001000	0.0558019 	
0.002000	0.15137   	0.002000	0.134532  	0.002000	0.185516  	0.002000	0.185516  	0.002000	0.185489  	0.002000	0.0950558 	0.002000	0.0394759 	
0.005000	0.211208  	0.005000	0.179949  	0.005000	0.223863  	0.005000	0.223863  	0.005000	0.223851  	0.005000	0.157342  	0.005000	0.0226062 	
0.008000	0.261939  	0.008000	0.220179  	0.008000	0.253665  	0.008000	0.253665  	0.008000	0.253657  	0.008000	0.203757  	0.008000	0.0164223 	
0.010000	0.292182  	0.010000	0.244255  	0.010000	0.270406  	0.010000	0.270406  	0.010000	0.2704    	0.010000	0.230363  	0.010000	0.0138921 	
0.015000	0.34294   	0.015000	0.287658  	0.015000	0.305884  	0.015000	0.305884  	0.015000	0.30588   	0.015000	0.277326  	0.015000	0.0103327 	
0.020000	0.382769  	0.020000	0.307816  	0.020000	0.337729  	0.020000	0.337729  	0.020000	0.337726  	0.020000	0.299496  	0.020000	0.00831959	
0.025000	0.426121  	0.025000	0.334916  	0.025000	0.367862  	0.025000	0.367862  	0.025000	0.36786   	0.025000	0.327907  	0.025000	0.00700942	
0.030000	0.461274  	0.030000	0.358935  	0.030000	0.394043  	0.030000	0.394043  	0.030000	0.394042  	0.030000	0.352853  	0.030000	0.00608204	
0.035000	0.489394  	0.035000	0.379973  	0.035000	0.418557  	0.035000	0.418557  	0.035000	0.418556  	0.035000	0.374586  	0.035000	0.00538773	
