*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.96673   	0.001000	0.102606  	0.001000	0.116193  	0.001000	0.116193  	0.001000	0.116083  	0.001000	0.0594852 	0.001000	0.043121  	
0.002000	1.11535   	0.002000	0.128513  	0.002000	0.14476   	0.002000	0.14476   	0.002000	0.144668  	0.002000	0.0870914 	0.002000	0.0414212 	
0.005000	1.55627   	0.005000	0.178218  	0.005000	0.197451  	0.005000	0.197451  	0.005000	0.197391  	0.005000	0.144159  	0.005000	0.0340589 	
0.008000	1.93007   	0.008000	0.215552  	0.008000	0.235544  	0.008000	0.235544  	0.008000	0.2355    	0.008000	0.186685  	0.008000	0.0288677 	
0.010000	2.15291   	0.010000	0.229243  	0.010000	0.253621  	0.010000	0.253621  	0.010000	0.253584  	0.010000	0.20294   	0.010000	0.0263027 	
0.015000	2.52691   	0.015000	0.269975  	0.015000	0.305988  	0.015000	0.305988  	0.015000	0.305961  	0.015000	0.248247  	0.015000	0.021728  	
0.020000	2.8204    	0.020000	0.311125  	0.020000	0.355227  	0.020000	0.355227  	0.020000	0.355205  	0.020000	0.292447  	0.020000	0.0186777 	
0.025000	3.13983   	0.025000	0.352146  	0.025000	0.40282   	0.025000	0.40282   	0.025000	0.402803  	0.025000	0.33567   	0.025000	0.0164761 	
0.030000	3.39885   	0.030000	0.391789  	0.030000	0.444313  	0.030000	0.444313  	0.030000	0.444298  	0.030000	0.376989  	0.030000	0.0148    	
0.035000	3.60605   	0.035000	0.430659  	0.035000	0.484684  	0.035000	0.484684  	0.035000	0.484672  	0.035000	0.417184  	0.035000	0.0134743 	
0.040000	3.765     	0.040000	0.468491  	0.040000	0.523677  	0.040000	0.523677  	0.040000	0.523666  	0.040000	0.456095  	0.040000	0.0123952 	
0.045000	3.87827   	0.045000	0.505074  	0.045000	0.561093  	0.045000	0.561093  	0.045000	0.561083  	0.045000	0.493577  	0.045000	0.011497  	
0.050000	3.94906   	0.050000	0.540246  	0.050000	0.596787  	0.050000	0.596787  	0.050000	0.596779  	0.050000	0.52951   	0.050000	0.0107359 	
0.055000	4.10614   	0.055000	0.573884  	0.055000	0.630662  	0.055000	0.630662  	0.055000	0.630654  	0.055000	0.563802  	0.055000	0.0100814 	
0.060000	4.23675   	0.060000	0.605901  	0.060000	0.662655  	0.060000	0.662655  	0.060000	0.662647  	0.060000	0.596389  	0.060000	0.00951171	
0.070000	4.42702   	0.070000	0.664879  	0.070000	0.720913  	0.070000	0.720913  	0.070000	0.720907  	0.070000	0.656313  	0.070000	0.00856598	
0.080000	4.63101   	0.080000	0.717054  	0.080000	0.771657  	0.080000	0.771657  	0.080000	0.771652  	0.080000	0.709244  	0.080000	0.00781028	
0.090000	4.77802   	0.090000	0.762628  	0.090000	0.815302  	0.090000	0.815302  	0.090000	0.815297  	0.090000	0.755437  	0.090000	0.00719065	
0.100000	4.88655   	0.100000	0.803155  	0.100000	0.8524    	0.100000	0.8524    	0.100000	0.852396  	0.100000	0.796545  	0.100000	0.00661031	
0.120000	4.95545   	0.120000	0.875707  	0.120000	0.910161  	0.120000	0.910161  	0.120000	0.910157  	0.120000	0.869909  	0.120000	0.00579797	
0.140000	4.96741   	0.140000	0.930349  	0.140000	0.950603  	0.140000	0.950603  	0.140000	0.9506    	0.140000	0.925169  	0.140000	0.0051794 	
0.160000	4.96781   	0.160000	0.972022  	0.160000	0.978684  	0.160000	0.978684  	0.160000	0.978682  	0.160000	0.967332  	0.160000	0.00469093	
0.180000	4.96173   	0.180000	1.00272   	0.180000	0.998183  	0.180000	0.998183  	0.180000	0.998181  	0.180000	0.998421  	0.180000	0.00429434	
0.200000	4.97485   	0.200000	1.02849   	0.200000	1.01178   	0.200000	1.01178   	0.200000	1.01178   	0.200000	1.02452   	0.200000	0.00396524	
0.250000	4.87303   	0.250000	1.07351   	0.250000	1.0305    	0.250000	1.0305    	0.250000	1.0305    	0.250000	1.07016   	0.250000	0.00334219	
0.300000	4.85711   	0.300000	1.11417   	0.300000	1.04473   	0.300000	1.04473   	0.300000	1.04473   	0.300000	1.11127   	0.300000	0.00290091	
0.350000	4.80064   	0.350000	1.13522   	0.350000	1.05226   	0.350000	1.05226   	0.350000	1.05226   	0.350000	1.13265   	0.350000	0.00257038	
