*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.346112  	0.001000	0.320732  	0.001000	0.248649  	0.001000	0.248649  	0.001000	0.248613  	0.001000	0.208244  	0.001000	0.112488  	
0.002000	0.383498  	0.002000	0.352938  	0.002000	0.275438  	0.002000	0.275438  	0.002000	0.275417  	0.002000	0.270059  	0.002000	0.0828791 	
0.005000	0.472783  	0.005000	0.430224  	0.005000	0.353893  	0.005000	0.353893  	0.005000	0.353884  	0.005000	0.380791  	0.005000	0.0494329 	
0.008000	0.54171   	0.008000	0.490664  	0.008000	0.421594  	0.008000	0.421594  	0.008000	0.421589  	0.008000	0.454184  	0.008000	0.0364802 	
0.010000	0.580842  	0.010000	0.525172  	0.010000	0.461918  	0.010000	0.461918  	0.010000	0.461914  	0.010000	0.493825  	0.010000	0.0313477 	
0.015000	0.678761  	0.015000	0.607228  	0.015000	0.532546  	0.015000	0.532546  	0.015000	0.532543  	0.015000	0.583891  	0.015000	0.0233372 	
0.020000	0.756189  	0.020000	0.686572  	0.020000	0.594482  	0.020000	0.594482  	0.020000	0.59448   	0.020000	0.667653  	0.020000	0.0189188 	
0.025000	0.841017  	0.025000	0.760158  	0.025000	0.654345  	0.025000	0.654345  	0.025000	0.654344  	0.025000	0.744145  	0.025000	0.0160137 	
0.030000	0.912394  	0.030000	0.828762  	0.030000	0.720557  	0.030000	0.720557  	0.030000	0.720556  	0.030000	0.814819  	0.030000	0.013943  	
0.035000	0.963081  	0.035000	0.886791  	0.035000	0.783232  	0.035000	0.783232  	0.035000	0.783231  	0.035000	0.874406  	0.035000	0.0123847 	
0.040000	1.00072   	0.040000	0.938715  	0.040000	0.84236   	0.040000	0.84236   	0.040000	0.84236   	0.040000	0.92755   	0.040000	0.0111652 	
0.045000	1.02695   	0.045000	0.986807  	0.045000	0.897945  	0.045000	0.897945  	0.045000	0.897944  	0.045000	0.976625  	0.045000	0.0101822 	
0.050000	1.04265   	0.050000	1.03128   	0.050000	0.950002  	0.050000	0.950002  	0.050000	0.950002  	0.050000	1.02191   	0.050000	0.00937145	
0.055000	1.08169   	0.055000	1.0723    	0.055000	0.998571  	0.055000	0.998571  	0.055000	0.99857   	0.055000	1.06361   	0.055000	0.00869008	
0.060000	1.11428   	0.060000	1.11003   	0.060000	1.04371   	0.060000	1.04371   	0.060000	1.04371   	0.060000	1.10192   	0.060000	0.00810866	
0.070000	1.16227   	0.070000	1.17621   	0.070000	1.12401   	0.070000	1.12401   	0.070000	1.12401   	0.070000	1.16904   	0.070000	0.00716705	
0.080000	1.21554   	0.080000	1.23102   	0.080000	1.19174   	0.080000	1.19174   	0.080000	1.19174   	0.080000	1.22458   	0.080000	0.00643547	
0.090000	1.25528   	0.090000	1.27564   	0.090000	1.24794   	0.090000	1.24794   	0.090000	1.24794   	0.090000	1.26979   	0.090000	0.00584924	
0.100000	1.28509   	0.100000	1.31129   	0.100000	1.29376   	0.100000	1.29376   	0.100000	1.29376   	0.100000	1.30592   	0.100000	0.00536803	
0.120000	1.29544   	0.120000	1.36065   	0.120000	1.3591    	0.120000	1.3591    	0.120000	1.3591    	0.120000	1.35603   	0.120000	0.00462292	
0.140000	1.30258   	0.140000	1.39528   	0.140000	1.397     	0.140000	1.397     	0.140000	1.397     	0.140000	1.39121   	0.140000	0.00407088	
0.160000	1.30564   	0.160000	1.41122   	0.160000	1.41537   	0.160000	1.41537   	0.160000	1.41537   	0.160000	1.40758   	0.160000	0.00364418	
0.180000	1.30888   	0.180000	1.41446   	0.180000	1.42037   	0.180000	1.42037   	0.180000	1.42037   	0.180000	1.41115   	0.180000	0.00330368	
0.200000	1.31372   	0.200000	1.40937   	0.200000	1.41657   	0.200000	1.41657   	0.200000	1.41657   	0.200000	1.40634   	0.200000	0.00302517	
0.250000	1.29823   	0.250000	1.38651   	0.250000	1.38733   	0.250000	1.38733   	0.250000	1.38733   	0.250000	1.384     	0.250000	0.00250799	
0.300000	1.29317   	0.300000	1.35873   	0.300000	1.34848   	0.300000	1.34848   	0.300000	1.34848   	0.300000	1.35658   	0.300000	0.00214982	
0.350000	1.28959   	0.350000	1.33082   	0.350000	1.31127   	0.350000	1.31127   	0.350000	1.31128   	0.350000	1.32894   	0.350000	0.00188606	
0.400000	1.29589   	0.400000	1.31585   	0.400000	1.28596   	0.400000	1.28596   	0.400000	1.28596   	0.400000	1.31417   	0.400000	0.00168316	
0.450000	1.2985    	0.450000	1.30134   	0.450000	1.25972   	0.450000	1.25972   	0.450000	1.25972   	0.450000	1.29982   	0.450000	0.00152191	
0.500000	1.29687   	0.500000	1.28622   	0.500000	1.23362   	0.500000	1.23362   	0.500000	1.23362   	0.500000	1.28483   	0.500000	0.00139046	
0.600000	1.24408   	0.600000	1.25895   	0.600000	1.18183   	0.600000	1.18183   	0.600000	1.18183   	0.600000	1.25776   	0.600000	0.00118863	
0.700000	1.16817   	0.700000	1.21529   	0.700000	1.13168   	0.700000	1.13168   	0.700000	1.13168   	0.700000	1.21425   	0.700000	0.0010405 	
0.800000	1.12468   	0.800000	1.16167   	0.800000	1.08573   	0.800000	1.08573   	0.800000	1.08573   	0.800000	1.16074   	0.800000	0.000926868	
0.900000	1.08146   	0.900000	1.11179   	0.900000	1.0433    	0.900000	1.0433    	0.900000	1.0433    	0.900000	1.11095   	0.900000	0.000836765	
1.000000	1.03897   	1.000000	1.0648    	1.000000	1.00392   	1.000000	1.00392   	1.000000	1.00392   	1.000000	1.06404   	1.000000	0.00076346	
1.250000	0.939694  	1.250000	0.961699  	1.250000	0.914003  	1.250000	0.914003  	1.250000	0.914003  	1.250000	0.961071  	1.250000	0.00062834	
1.500000	0.852775  	1.500000	0.873879  	1.500000	0.837417  	1.500000	0.837417  	1.500000	0.837417  	1.500000	0.873343  	1.500000	0.000535581	
1.750000	0.777226  	1.750000	0.798366  	1.750000	0.773428  	1.750000	0.773428  	1.750000	0.773429  	1.750000	0.797898  	1.750000	0.00046774	
2.000000	0.71471   	2.000000	0.736355  	2.000000	0.718707  	2.000000	0.718707  	2.000000	0.718707  	2.000000	0.735939  	2.000000	0.000415845	
2.250000	0.662956  	2.250000	0.684154  	2.250000	0.671228  	2.250000	0.671228  	2.250000	0.671228  	2.250000	0.683779  	2.250000	0.000374793	
2.500000	0.607786  	2.500000	0.639192  	2.500000	0.629607  	2.500000	0.629607  	2.500000	0.629607  	2.500000	0.638851  	2.500000	0.000341462	
3.000000	0.539054  	3.000000	0.563662  	3.000000	0.560101  	3.000000	0.560101  	3.000000	0.560102  	3.000000	0.563372  	3.000000	0.000290534	
3.500000	0.485002  	3.500000	0.506068  	3.500000	0.504457  	3.500000	0.504457  	3.500000	0.504457  	3.500000	0.505815  	3.500000	0.000253365	
4.000000	0.441348  	4.000000	0.460122  	4.000000	0.458983  	4.000000	0.458983  	4.000000	0.458984  	4.000000	0.459897  	4.000000	0.00022498	
4.500000	0.405328  	4.500000	0.422352  	4.500000	0.421173  	4.500000	0.421173  	4.500000	0.421173  	4.500000	0.422149  	4.500000	0.000202559	
5.000000	0.375078  	5.000000	0.390635  	5.000000	0.389268  	5.000000	0.389268  	5.000000	0.389269  	5.000000	0.39045   	5.000000	0.000184377	
5.500000	0.349298  	5.500000	0.363568  	5.500000	0.361991  	5.500000	0.361991  	5.500000	0.361992  	5.500000	0.363398  	5.500000	0.000169321	
6.000000	0.327053  	6.000000	0.340169  	6.000000	0.338408  	6.000000	0.338408  	6.000000	0.338409  	6.000000	0.340013  	6.000000	0.000156639	
6.500000	0.307653  	6.500000	0.319727  	6.500000	0.317818  	6.500000	0.317818  	6.500000	0.317818  	6.500000	0.319581  	6.500000	0.000145802	
7.000000	0.290578  	7.000000	0.301705  	7.000000	0.299683  	7.000000	0.299683  	7.000000	0.299683  	7.000000	0.301569  	7.000000	0.00013643	
7.500000	0.275428  	7.500000	0.285692  	7.500000	0.283587  	7.500000	0.283587  	7.500000	0.283588  	7.500000	0.285564  	7.500000	0.00012824	
8.000000	0.261889  	8.000000	0.271366  	8.000000	0.269204  	8.000000	0.269204  	8.000000	0.269204  	8.000000	0.271245  	8.000000	0.000121019	
8.500000	0.249715  	8.500000	0.25847   	8.500000	0.256271  	8.500000	0.256271  	8.500000	0.256271  	8.500000	0.258355  	8.500000	0.000114602	
9.000000	0.238705  	9.000000	0.246799  	9.000000	0.244577  	9.000000	0.244577  	9.000000	0.244577  	9.000000	0.24669   	9.000000	0.000108861	
9.500000	0.228699  	9.500000	0.236184  	9.500000	0.233951  	9.500000	0.233951  	9.500000	0.233951  	9.500000	0.23608   	9.500000	0.000103691	
10.000000	0.219562  	10.000000	0.223537  	10.000000	0.224251  	10.000000	0.224251  	10.000000	0.224252  	10.000000	0.223438  	10.000000	9.90116e-05	
11.000000	0.203474  	11.000000	0.20748   	11.000000	0.207016  	11.000000	0.207114  	11.000000	0.207039  	11.000000	0.207389  	11.000000	9.08635e-05	
12.000000	0.189754  	12.000000	0.1937    	12.000000	0.1924    	12.000000	0.192561  	12.000000	0.192432  	12.000000	0.193616  	12.000000	8.40053e-05	
13.000000	0.177909  	13.000000	0.181744  	13.000000	0.179852  	13.000000	0.180054  	13.000000	0.179886  	13.000000	0.181666  	13.000000	7.81494e-05	
14.000000	0.167573  	14.000000	0.171271  	14.000000	0.168967  	14.000000	0.169194  	14.000000	0.169     	14.000000	0.171198  	14.000000	7.30884e-05	
15.000000	0.158472  	15.000000	0.162021  	15.000000	0.15944   	15.000000	0.159682  	15.000000	0.15947   	15.000000	0.161952  	15.000000	6.86686e-05	
16.000000	0.150393  	16.000000	0.153789  	16.000000	0.151033  	16.000000	0.151283  	16.000000	0.151062  	16.000000	0.153725  	16.000000	6.47738e-05	
17.000000	0.143171  	17.000000	0.146416  	17.000000	0.143565  	17.000000	0.143818  	17.000000	0.143592  	17.000000	0.146355  	17.000000	6.13146e-05	
18.000000	0.136674  	18.000000	0.139773  	18.000000	0.136892  	18.000000	0.137142  	18.000000	0.136915  	18.000000	0.139715  	18.000000	5.82209e-05	
19.000000	0.130797  	19.000000	0.133755  	19.000000	0.130897  	19.000000	0.131139  	19.000000	0.130915  	19.000000	0.1337    	19.000000	5.54367e-05	
20.000000	0.125453  	20.000000	0.128278  	20.000000	0.125481  	20.000000	0.125715  	20.000000	0.125497  	20.000000	0.128225  	20.000000	5.29173e-05	
21.000000	0.120573  	21.000000	0.123271  	21.000000	0.120568  	21.000000	0.120793  	21.000000	0.120582  	21.000000	0.12322   	21.000000	5.06262e-05	
22.000000	0.116096  	22.000000	0.118675  	22.000000	0.116095  	22.000000	0.11631   	22.000000	0.116107  	22.000000	0.118626  	22.000000	4.85331e-05	
23.000000	0.111975  	23.000000	0.114441  	23.000000	0.112009  	23.000000	0.11221   	23.000000	0.112017  	23.000000	0.114395  	23.000000	4.66132e-05	
24.000000	0.108168  	24.000000	0.110528  	24.000000	0.108261  	24.000000	0.10845   	24.000000	0.108267  	24.000000	0.110483  	24.000000	4.48456e-05	
25.000000	0.10464   	25.000000	0.1069    	25.000000	0.104812  	25.000000	0.104991  	25.000000	0.104819  	25.000000	0.106857  	25.000000	4.32125e-05	
27.000000	0.0983035 	27.000000	0.100382  	27.000000	0.0986916 	27.000000	0.0988492 	27.000000	0.0986991 	27.000000	0.100341  	27.000000	4.02921e-05	
29.000000	0.0927718 	29.000000	0.0946888 	29.000000	0.0934439 	29.000000	0.0935738 	29.000000	0.0934463 	29.000000	0.094651  	29.000000	3.77559e-05	
31.000000	0.0878985 	31.000000	0.0896723 	31.000000	0.0887173 	31.000000	0.0888177 	31.000000	0.088718  	31.000000	0.0896368 	31.000000	3.55318e-05	
