*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al
0.001000	0.48309   	0.001000	0.238499  	0.001000	0.233627  	0.001000	0.233627  	0.001000	0.233646  	0.001000	0.123413  	0.001000	0.115086
0.002000	0.527828  	0.002000	0.265154  	0.002000	0.261854  	0.002000	0.261854  	0.002000	0.261866  	0.002000	0.17094   	0.002000	0.0942135
0.005000	0.639337  	0.005000	0.325899  	0.005000	0.328007  	0.005000	0.328007  	0.005000	0.328014  	0.005000	0.262952  	0.005000	0.0629465
0.008000	0.727745  	0.008000	0.376559  	0.008000	0.383882  	0.008000	0.383882  	0.008000	0.383887  	0.008000	0.327954  	0.008000	0.0486048
0.010000	0.778405  	0.010000	0.406772  	0.010000	0.417405  	0.010000	0.417405  	0.010000	0.417409  	0.010000	0.364217  	0.010000	0.0425544
0.015000	0.906876  	0.015000	0.47362   	0.015000	0.492037  	0.015000	0.492037  	0.015000	0.492039  	0.015000	0.44068   	0.015000	0.0329401
0.020000	1.00952   	0.020000	0.538193  	0.020000	0.572281  	0.020000	0.572281  	0.020000	0.572283  	0.020000	0.511001  	0.020000	0.0271927
0.025000	1.12279   	0.025000	0.604443  	0.025000	0.653501  	0.025000	0.653501  	0.025000	0.653504  	0.025000	0.581126  	0.025000	0.0233166
0.030000	1.21879   	0.030000	0.665362  	0.030000	0.709989  	0.030000	0.709989  	0.030000	0.709991  	0.030000	0.645051  	0.030000	0.0203111
0.035000	1.29771   	0.035000	0.721637  	0.035000	0.761379  	0.035000	0.761379  	0.035000	0.761381  	0.035000	0.703449  	0.035000	0.0181885
0.040000	1.35992   	0.040000	0.77335   	0.040000	0.80782   	0.040000	0.80782   	0.040000	0.807821  	0.040000	0.756845  	0.040000	0.0165053
0.045000	1.40606   	0.045000	0.820861  	0.045000	0.849676  	0.045000	0.849676  	0.045000	0.849678  	0.045000	0.805727  	0.045000	0.0151343
0.050000	1.43708   	0.050000	0.86456   	0.050000	0.887313  	0.050000	0.887313  	0.050000	0.887315  	0.050000	0.850567  	0.050000	0.0139936
0.055000	1.49966   	0.055000	0.900912  	0.055000	0.921095  	0.055000	0.921095  	0.055000	0.921096  	0.055000	0.887885  	0.055000	0.0130279
0.060000	1.55296   	0.060000	0.934034  	0.060000	0.951381  	0.060000	0.951381  	0.060000	0.951383  	0.060000	0.921836  	0.060000	0.0121987
0.070000	1.63439   	0.070000	0.99229   	0.070000	1.00285   	0.070000	1.00285   	0.070000	1.00285   	0.070000	0.981444  	0.070000	0.0108455
0.080000	1.72176   	0.080000	1.04057   	0.080000	1.0443    	0.080000	1.0443    	0.080000	1.0443    	0.080000	1.03079   	0.080000	0.00978503
0.090000	1.7904    	0.090000	1.08307   	0.090000	1.07792   	0.090000	1.07792   	0.090000	1.07793   	0.090000	1.07414   	0.090000	0.00892926
0.100000	1.84545   	0.100000	1.12348   	0.100000	1.10553   	0.100000	1.10553   	0.100000	1.10553   	0.100000	1.11525   	0.100000	0.00822267
0.120000	1.87889   	0.120000	1.1665    	0.120000	1.14793   	0.120000	1.14793   	0.120000	1.14793   	0.120000	1.15938   	0.120000	0.00712094
0.140000	1.89218   	0.140000	1.20013   	0.140000	1.17911   	0.140000	1.17911   	0.140000	1.17911   	0.140000	1.19384   	0.140000	0.00629839
0.160000	1.89688   	0.160000	1.22696   	0.160000	1.20326   	0.160000	1.20326   	0.160000	1.20326   	0.160000	1.2213    	0.160000	0.0056587
