*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	3.45261   	0.001000	0.266316  	0.001000	0.25057   	0.001000	0.25057   	0.001000	0.156465  	0.001000	0.109852  	
0.002000	3.77235   	0.002000	0.329423  	0.002000	0.311707  	0.002000	0.311707  	0.002000	0.216721  	0.002000	0.112703  	
0.005000	4.56929   	0.005000	0.447205  	0.005000	0.431218  	0.005000	0.431218  	0.005000	0.344659  	0.005000	0.102546  	
0.008000	5.20114   	0.008000	0.530457  	0.008000	0.511638  	0.008000	0.511638  	0.008000	0.438829  	0.008000	0.0916283 	
0.010000	5.5632    	0.010000	0.58028   	0.010000	0.560153  	0.010000	0.560153  	0.010000	0.494763  	0.010000	0.085517  	
0.015000	6.48138   	0.015000	0.684054  	0.015000	0.673962  	0.015000	0.673962  	0.015000	0.610465  	0.015000	0.0735892 	
0.020000	7.21496   	0.020000	0.78083   	0.020000	0.783104  	0.020000	0.783104  	0.020000	0.715883  	0.020000	0.0649478 	
0.025000	8.02447   	0.025000	0.874968  	0.025000	0.890583  	0.025000	0.890583  	0.025000	0.816588  	0.025000	0.0583805 	
0.030000	8.71059   	0.030000	0.966589  	0.030000	0.971736  	0.030000	0.971736  	0.030000	0.913392  	0.030000	0.0531972 	
0.035000	9.27466   	0.035000	1.05616   	0.035000	1.05085   	0.035000	1.05085   	0.035000	1.00718   	0.035000	0.0489854 	
0.040000	9.71923   	0.040000	1.14386   	0.040000	1.1281    	0.040000	1.1281    	0.040000	1.09837   	0.040000	0.0454839 	
0.045000	10.049    	0.045000	1.22969   	0.045000	1.20352   	0.045000	1.20352   	0.045000	1.18718   	0.045000	0.042519  	
0.050000	10.2707   	0.050000	1.31363   	0.050000	1.27709   	0.050000	1.27709   	0.050000	1.27366   	0.050000	0.0399706 	
0.055000	10.718    	0.055000	1.39337   	0.055000	1.34881   	0.055000	1.34881   	0.055000	1.35562   	0.055000	0.0377525 	
0.060000	11.0989   	0.060000	1.47086   	0.060000	1.41865   	0.060000	1.41865   	0.060000	1.43505   	0.060000	0.0358016 	
0.070000	11.6809   	0.070000	1.61896   	0.070000	1.55271   	0.070000	1.55271   	0.070000	1.58644   	0.070000	0.0325208 	
0.080000	12.3053   	0.080000	1.75213   	0.080000	1.67932   	0.080000	1.67932   	0.080000	1.72227   	0.080000	0.0298609 	
0.090000	12.7958   	0.090000	1.87844   	0.090000	1.79854   	0.090000	1.79854   	0.090000	1.85079   	0.090000	0.0276542 	
0.100000	13.1893   	0.100000	1.99469   	0.100000	1.91051   	0.100000	1.91051   	0.100000	1.9689    	0.100000	0.0257892 	
0.120000	13.4283   	0.120000	2.20824   	0.120000	2.11347   	0.120000	2.11347   	0.120000	2.18545   	0.120000	0.0227993 	
0.140000	13.5233   	0.140000	2.38742   	0.140000	2.29      	0.140000	2.29      	0.140000	2.36693   	0.140000	0.0204975 	
0.160000	13.5569   	0.160000	2.52945   	0.160000	2.44227   	0.160000	2.44227   	0.160000	2.51078   	0.160000	0.0186632 	
