Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.420191  	0.001000	0.390903  	0.001000	0.319086  	0.001000	0.319086  	0.001000	0.3191    	0.001000	0.240147  	0.001000	0.150756  	
0.002000	0.459105  	0.002000	0.42406   	0.002000	0.35068   	0.002000	0.35068   	0.002000	0.35069   	0.002000	0.311432  	0.002000	0.112629  	
0.005000	0.556095  	0.005000	0.507267  	0.005000	0.444531  	0.005000	0.444531  	0.005000	0.444535  	0.005000	0.439127  	0.005000	0.0681401 	
0.008000	0.632993  	0.008000	0.574329  	0.008000	0.526665  	0.008000	0.526665  	0.008000	0.526668  	0.008000	0.523764  	0.008000	0.0505656 	
0.010000	0.677056  	0.010000	0.613028  	0.010000	0.575846  	0.010000	0.575846  	0.010000	0.575848  	0.010000	0.569478  	0.010000	0.0435505 	
0.015000	0.788801  	0.015000	0.70622   	0.015000	0.661688  	0.015000	0.661688  	0.015000	0.66169   	0.015000	0.673687  	0.015000	0.0325321 	
0.020000	0.878079  	0.020000	0.797522  	0.020000	0.73708   	0.020000	0.73708   	0.020000	0.737082  	0.020000	0.771085  	0.020000	0.026438  	
0.025000	0.976599  	0.025000	0.882848  	0.025000	0.810141  	0.025000	0.810141  	0.025000	0.810143  	0.025000	0.860433  	0.025000	0.0224156 	
0.030000	1.0601    	0.030000	0.962932  	0.030000	0.891207  	0.030000	0.891207  	0.030000	0.891208  	0.030000	0.943391  	0.030000	0.0195411 	
0.035000	1.12875   	0.035000	1.03808   	0.035000	0.968054  	0.035000	0.968054  	0.035000	0.968055  	0.035000	1.02071   	0.035000	0.0173738 	
0.040000	1.18286   	0.040000	1.10847   	0.040000	1.04067   	0.040000	1.04067   	0.040000	1.04067   	0.040000	1.09279   	0.040000	0.0156753 	
0.045000	1.22299   	0.045000	1.17424   	0.045000	1.10904   	0.045000	1.10904   	0.045000	1.10904   	0.045000	1.15993   	0.045000	0.0143046 	
0.050000	1.24997   	0.050000	1.23552   	0.050000	1.17318   	0.050000	1.17318   	0.050000	1.17319   	0.050000	1.22235   	0.050000	0.0131728 	
0.055000	1.3044    	0.055000	1.29244   	0.055000	1.23315   	0.055000	1.23315   	0.055000	1.23315   	0.055000	1.28022   	0.055000	0.0122209 	
0.060000	1.35077   	0.060000	1.34512   	0.060000	1.289     	0.060000	1.289     	0.060000	1.289     	0.060000	1.33371   	0.060000	0.0114081 	
0.070000	1.42159   	0.070000	1.43839   	0.070000	1.38871   	0.070000	1.38871   	0.070000	1.38871   	0.070000	1.4283    	0.070000	0.0100905 	
