*! 12C energy loss (dE/dX) in C
*! apply ZOOM for details
*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.402813  	0.001000	0.37556   	0.001000	0.381507  	0.001000	0.381507  	0.001000	0.381523  	0.001000	0.222701  	0.001000	0.152858  	
0.002000	0.440117  	0.002000	0.405176  	0.002000	0.407794  	0.002000	0.407794  	0.002000	0.407804  	0.002000	0.288808  	0.002000	0.116368  	
0.005000	0.533096  	0.005000	0.479022  	0.005000	0.473405  	0.005000	0.473405  	0.005000	0.47341   	0.005000	0.407227  	0.005000	0.071795  	
0.008000	0.606813  	0.008000	0.539404  	0.008000	0.527108  	0.008000	0.527108  	0.008000	0.527111  	0.008000	0.485715  	0.008000	0.0536889 	
0.010000	0.649055  	0.010000	0.574495  	0.010000	0.558262  	0.010000	0.558262  	0.010000	0.558265  	0.010000	0.528108  	0.010000	0.0463869 	
0.015000	0.756178  	0.015000	0.641689  	0.015000	0.627868  	0.015000	0.627868  	0.015000	0.62787   	0.015000	0.606534  	0.015000	0.0351542 	
0.020000	0.841764  	0.020000	0.683708  	0.020000	0.697407  	0.020000	0.697407  	0.020000	0.697409  	0.020000	0.655322  	0.020000	0.0283862 	
0.025000	0.936209  	0.025000	0.742274  	0.025000	0.765278  	0.025000	0.765278  	0.025000	0.765279  	0.025000	0.71815   	0.025000	0.0241239 	
0.030000	1.01626   	0.030000	0.795997  	0.030000	0.825956  	0.030000	0.825956  	0.030000	0.825958  	0.030000	0.774931  	0.030000	0.0210667 	
0.035000	1.08207   	0.035000	0.845167  	0.035000	0.883785  	0.035000	0.883785  	0.035000	0.883787  	0.035000	0.826412  	0.035000	0.0187554 	
0.040000	1.13394   	0.040000	0.890009  	0.040000	0.938816  	0.040000	0.938816  	0.040000	0.938817  	0.040000	0.873068  	0.040000	0.0169402 	
0.045000	1.17241   	0.045000	0.930713  	0.045000	0.991103  	0.045000	0.991103  	0.045000	0.991104  	0.045000	0.91524   	0.045000	0.0154729 	
0.050000	1.19827   	0.050000	0.967453  	0.050000	1.0407    	0.050000	1.0407    	0.050000	1.0407    	0.050000	0.953194  	0.050000	0.0142596 	
0.055000	1.25046   	0.055000	1.01458   	0.055000	1.08767   	0.055000	1.08767   	0.055000	1.08767   	0.055000	1.00134   	0.055000	0.013238  	
0.060000	1.2949    	0.060000	1.05926   	0.060000	1.13207   	0.060000	1.13207   	0.060000	1.13208   	0.060000	1.0469    	0.060000	0.0123647 	
0.070000	1.3628    	0.070000	1.14151   	0.070000	1.21342   	0.070000	1.21342   	0.070000	1.21342   	0.070000	1.13057   	0.070000	0.0109475 	
0.080000	1.43565   	0.080000	1.21238   	0.080000	1.28528   	0.080000	1.28528   	0.080000	1.28529   	0.080000	1.20254   	0.080000	0.00984363	
