*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.159051  	0.001000	0.134858  	0.001000	0.132645  	0.001000	0.132645  	0.001000	0.132652  	0.001000	0.0676768 	0.001000	0.0671811 	
0.002000	0.173781  	0.002000	0.141748  	0.002000	0.140356  	0.002000	0.140356  	0.002000	0.14036   	0.002000	0.0903693 	0.002000	0.0513788 	
0.005000	0.210494  	0.005000	0.16452   	0.005000	0.165867  	0.005000	0.165867  	0.005000	0.165869  	0.005000	0.132662  	0.005000	0.0318579 	
0.008000	0.239601  	0.008000	0.185525  	0.008000	0.18948   	0.008000	0.18948   	0.008000	0.189482  	0.008000	0.161654  	0.008000	0.0238717 	
0.010000	0.25628   	0.010000	0.198231  	0.010000	0.203832  	0.010000	0.203832  	0.010000	0.203834  	0.010000	0.177589  	0.010000	0.0206422 	
0.015000	0.298578  	0.015000	0.228498  	0.015000	0.237737  	0.015000	0.237737  	0.015000	0.237738  	0.015000	0.212859  	0.015000	0.0156391 	
0.020000	0.332371  	0.020000	0.258064  	0.020000	0.271432  	0.020000	0.271432  	0.020000	0.271433  	0.020000	0.245405  	0.020000	0.0126582 	
0.025000	0.369663  	0.025000	0.289486  	0.025000	0.304765  	0.025000	0.304765  	0.025000	0.304765  	0.025000	0.278721  	0.025000	0.0107645 	
0.030000	0.401271  	0.030000	0.319977  	0.030000	0.331725  	0.030000	0.331725  	0.030000	0.331726  	0.030000	0.310572  	0.030000	0.00940472	
0.035000	0.427256  	0.035000	0.349343  	0.035000	0.35751   	0.035000	0.35751   	0.035000	0.35751   	0.035000	0.340967  	0.035000	0.00837595	
0.040000	0.447736  	0.040000	0.377427  	0.040000	0.382137  	0.040000	0.382137  	0.040000	0.382138  	0.040000	0.36986   	0.040000	0.00756753	
0.045000	0.462927  	0.045000	0.40411   	0.045000	0.405629  	0.045000	0.405629  	0.045000	0.405629  	0.045000	0.397196  	0.045000	0.00691375	
0.050000	0.47314   	0.050000	0.429299  	0.050000	0.428005  	0.050000	0.428005  	0.050000	0.428005  	0.050000	0.422926  	0.050000	0.00637297	
0.055000	0.493744  	0.055000	0.454527  	0.055000	0.449285  	0.055000	0.449285  	0.055000	0.449286  	0.055000	0.44861   	0.055000	0.00591746	
0.060000	0.511294  	0.060000	0.478292  	0.060000	0.469493  	0.060000	0.469493  	0.060000	0.469494  	0.060000	0.472764  	0.060000	0.00552798	
0.070000	0.538103  	0.070000	0.521331  	0.070000	0.506785  	0.070000	0.506785  	0.070000	0.506786  	0.070000	0.516435  	0.070000	0.00489565	
0.080000	0.566868  	0.080000	0.558173  	0.080000	0.540091  	0.080000	0.540091  	0.080000	0.540091  	0.080000	0.55377   	0.080000	0.00440298	
0.090000	0.589466  	0.090000	0.589764  	0.090000	0.569644  	0.090000	0.569644  	0.090000	0.569645  	0.090000	0.585757  	0.090000	0.00400729	
0.100000	0.60759   	0.100000	0.616851  	0.100000	0.595699  	0.100000	0.595699  	0.100000	0.5957    	0.100000	0.613169  	0.100000	0.00368186	
0.120000	0.6186    	0.120000	0.657773  	0.120000	0.638377  	0.120000	0.638377  	0.120000	0.638378  	0.120000	0.654596  	0.120000	0.0031768 	
0.140000	0.622976  	0.140000	0.684269  	0.140000	0.670236  	0.140000	0.670236  	0.140000	0.670236  	0.140000	0.681467  	0.140000	0.00280166	
0.160000	0.624525  	0.160000	0.699672  	0.160000	0.693255  	0.160000	0.693255  	0.160000	0.693256  	0.160000	0.697161  	0.160000	0.00251109	
0.180000	0.624394  	0.180000	0.705853  	0.180000	0.709189  	0.180000	0.709189  	0.180000	0.709189  	0.180000	0.703574  	0.180000	0.00227885	
0.200000	0.62576   	0.200000	0.708232  	0.200000	0.719525  	0.200000	0.719525  	0.200000	0.719526  	0.200000	0.706143  	0.200000	0.00208861	
0.250000	0.61434   	0.250000	0.703697  	0.250000	0.728396  	0.250000	0.728396  	0.250000	0.728396  	0.250000	0.701962  	0.250000	0.00173468	
0.300000	0.616864  	0.300000	0.704683  	0.300000	0.722897  	0.300000	0.722897  	0.300000	0.722897  	0.300000	0.703194  	0.300000	0.001489  	
0.350000	0.621487  	0.350000	0.705337  	0.350000	0.710568  	0.350000	0.710568  	0.350000	0.710569  	0.350000	0.70403   	0.350000	0.00130776	
0.400000	0.620402  	0.400000	0.699245  	0.400000	0.69658   	0.400000	0.69658   	0.400000	0.69658   	0.400000	0.698077  	0.400000	0.00116815	
0.450000	0.616978  	0.450000	0.691264  	0.450000	0.686114  	0.450000	0.686114  	0.450000	0.686114  	0.450000	0.690207  	0.450000	0.00105706	
0.500000	0.615249  	0.500000	0.686183  	0.500000	0.674042  	0.500000	0.674042  	0.500000	0.674043  	0.500000	0.685216  	0.500000	0.000966414	
0.600000	0.58791   	0.600000	0.667529  	0.600000	0.648639  	0.600000	0.648639  	0.600000	0.648639  	0.600000	0.666702  	0.600000	0.000827061	
0.700000	0.557199  	0.700000	0.647801  	0.700000	0.622419  	0.700000	0.622419  	0.700000	0.62242   	0.700000	0.647077  	0.700000	0.000724648	
0.800000	0.545346  	0.800000	0.626881  	0.800000	0.598114  	0.800000	0.598114  	0.800000	0.598114  	0.800000	0.626235  	0.800000	0.000645996	
