*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al
0.001000	2.96809   	0.001000	0.253861  	0.001000	0.250003  	0.001000	0.250003  	0.001000	0.250033  	0.001000	0.149035  	0.001000	0.104826
0.002000	3.24296   	0.002000	0.312974  	0.002000	0.311854  	0.002000	0.311854  	0.002000	0.311882  	0.002000	0.206429  	0.002000	0.106544
0.005000	3.92806   	0.005000	0.41305   	0.005000	0.420128  	0.005000	0.420128  	0.005000	0.420149  	0.005000	0.317544  	0.005000	0.0955066
0.008000	4.47124   	0.008000	0.480688  	0.008000	0.495264  	0.008000	0.495264  	0.008000	0.49528   	0.008000	0.396041  	0.008000	0.0846473
0.010000	4.78249   	0.010000	0.517869  	0.010000	0.531316  	0.010000	0.531316  	0.010000	0.531331  	0.010000	0.439165  	0.010000	0.0787033
0.015000	5.57182   	0.015000	0.60503   	0.015000	0.64016   	0.015000	0.64016   	0.015000	0.640172  	0.015000	0.537745  	0.015000	0.0672841
0.020000	6.20245   	0.020000	0.693537  	0.020000	0.744875  	0.020000	0.744875  	0.020000	0.744884  	0.020000	0.634408  	0.020000	0.059129
0.025000	6.89836   	0.025000	0.782709  	0.025000	0.848149  	0.025000	0.848149  	0.025000	0.848157  	0.025000	0.729723  	0.025000	0.0529861
0.030000	7.48819   	0.030000	0.871786  	0.030000	0.940406  	0.030000	0.940406  	0.030000	0.940413  	0.030000	0.823618  	0.030000	0.0481678
0.035000	7.97311   	0.035000	0.960031  	0.035000	1.03156   	0.035000	1.03156   	0.035000	1.03157   	0.035000	0.91576   	0.035000	0.0442708
0.040000	8.35529   	0.040000	1.04678   	0.040000	1.12088   	0.040000	1.12088   	0.040000	1.12089   	0.040000	1.00574   	0.040000	0.0410427
0.045000	8.63877   	0.045000	1.1315    	0.045000	1.20779   	0.045000	1.20779   	0.045000	1.20779   	0.045000	1.09318   	0.045000	0.0383175
0.050000	8.82936   	0.050000	1.21376   	0.050000	1.29183   	0.050000	1.29183   	0.050000	1.29183   	0.050000	1.17778   	0.050000	0.0359807
0.055000	9.21386   	0.055000	1.29322   	0.055000	1.37267   	0.055000	1.37267   	0.055000	1.37268   	0.055000	1.25927   	0.055000	0.0339512
0.060000	9.54136   	0.060000	1.36964   	0.060000	1.45008   	0.060000	1.45008   	0.060000	1.45009   	0.060000	1.33747   	0.060000	0.0321692
0.070000	10.0416   	0.070000	1.51266   	0.070000	1.59402   	0.070000	1.59402   	0.070000	1.59403   	0.070000	1.48348   	0.070000	0.0291793
0.080000	10.5784   	0.080000	1.64209   	0.080000	1.72316   	0.080000	1.72316   	0.080000	1.72317   	0.080000	1.61533   	0.080000	0.0267613
