*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.57282   	0.001000	0.28913   	0.001000	0.28854   	0.001000	0.28854   	0.001000	0.140443  	0.001000	0.148686  	
0.002000	0.61964   	0.002000	0.317373  	0.002000	0.320625  	0.002000	0.320625  	0.002000	0.19453   	0.002000	0.122843  	
0.005000	0.73992   	0.005000	0.382189  	0.005000	0.395669  	0.005000	0.395669  	0.005000	0.299239  	0.005000	0.0829506 	
0.008000	0.837465  	0.008000	0.437543  	0.008000	0.459892  	0.008000	0.459892  	0.008000	0.373211  	0.008000	0.0643329 	
0.010000	0.893821  	0.010000	0.470906  	0.010000	0.498676  	0.010000	0.498676  	0.010000	0.414478  	0.010000	0.0564275 	
0.015000	1.02872   	0.015000	0.5453    	0.015000	0.585448  	0.015000	0.585448  	0.015000	0.501493  	0.015000	0.043807  	
0.020000	1.13327   	0.020000	0.611415  	0.020000	0.679324  	0.020000	0.679324  	0.020000	0.575186  	0.020000	0.0362287 	
0.025000	1.25253   	0.025000	0.678468  	0.025000	0.774618  	0.025000	0.774618  	0.025000	0.647364  	0.025000	0.0311036 	
0.030000	1.35534   	0.030000	0.742192  	0.030000	0.841139  	0.030000	0.841139  	0.030000	0.714817  	0.030000	0.0273753 	
0.035000	1.43985   	0.035000	0.801739  	0.035000	0.901307  	0.035000	0.901307  	0.035000	0.777437  	0.035000	0.0243013 	
0.040000	1.50651   	0.040000	0.856918  	0.040000	0.95601   	0.040000	0.95601   	0.040000	0.83485   	0.040000	0.0220673 	
0.045000	1.55605   	0.045000	0.907863  	0.045000	1.00541   	0.045000	1.00541   	0.045000	0.887618  	0.045000	0.0202454 	
