*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	2.91805   	0.001000	0.267976  	0.001000	0.269052  	0.001000	0.269052  	0.001000	0.139128  	0.001000	0.128848  	
0.002000	2.98575   	0.002000	0.328625  	0.002000	0.334195  	0.002000	0.334195  	0.002000	0.192708  	0.002000	0.135917  	
0.005000	3.28267   	0.005000	0.425804  	0.005000	0.442871  	0.005000	0.442871  	0.005000	0.296436  	0.005000	0.129368  	
0.008000	3.58729   	0.008000	0.488273  	0.008000	0.515111  	0.008000	0.515111  	0.008000	0.369715  	0.008000	0.118558  	
0.010000	3.77622   	0.010000	0.522581  	0.010000	0.555344  	0.010000	0.555344  	0.010000	0.410596  	0.010000	0.111985  	
0.015000	4.45341   	0.015000	0.595209  	0.015000	0.641414  	0.015000	0.641414  	0.015000	0.496795  	0.015000	0.0984134 	
0.020000	5.10764   	0.020000	0.678356  	0.020000	0.739884  	0.020000	0.739884  	0.020000	0.590277  	0.020000	0.0880795 	
0.025000	5.85519   	0.025000	0.779648  	0.025000	0.855284  	0.025000	0.855284  	0.025000	0.699667  	0.025000	0.0799812 	
0.030000	6.54057   	0.030000	0.881238  	0.030000	0.940122  	0.030000	0.940122  	0.030000	0.807787  	0.030000	0.0734514 	
0.035000	7.14963   	0.035000	0.982455  	0.035000	1.02386   	0.035000	1.02386   	0.035000	0.914395  	0.035000	0.0680599 	
0.040000	7.67308   	0.040000	1.08277   	0.040000	1.10637   	0.040000	1.10637   	0.040000	1.01925   	0.040000	0.0635211 	
0.045000	8.10123   	0.045000	1.18176   	0.045000	1.1875    	0.045000	1.1875    	0.045000	1.12212   	0.045000	0.0596386 	
0.050000	8.36583   	0.050000	1.27797   	0.050000	1.26715   	0.050000	1.26715   	0.050000	1.22169   	0.050000	0.0562731 	
0.055000	8.81392   	0.055000	1.35979   	0.055000	1.34523   	0.055000	1.34523   	0.055000	1.30647   	0.055000	0.0533229 	
0.060000	9.21042   	0.060000	1.43971   	0.060000	1.42166   	0.060000	1.42166   	0.060000	1.38899   	0.060000	0.0507119 	
0.070000	9.85778   	0.070000	1.59345   	0.070000	1.56929   	0.070000	1.56929   	0.070000	1.54716   	0.070000	0.0462874 	
0.080000	10.5433   	0.080000	1.73864   	0.080000	1.70967   	0.080000	1.70967   	0.080000	1.69597   	0.080000	0.0426694 	
0.090000	11.1061   	0.090000	1.87494   	0.090000	1.84256   	0.090000	1.84256   	0.090000	1.8353    	0.090000	0.0396468 	
0.100000	11.5449   	0.100000	2.00226   	0.100000	1.96788   	0.100000	1.96788   	0.100000	1.96518   	0.100000	0.0370776 	
0.120000	11.8424   	0.120000	2.20096   	0.120000	2.19603   	0.120000	2.19603   	0.120000	2.16803   	0.120000	0.0329301 	
0.140000	12.0429   	0.140000	2.37042   	0.140000	2.39528   	0.140000	2.39528   	0.140000	2.34071   	0.140000	0.029713  	
0.160000	12.2237   	0.160000	2.51592   	0.160000	2.56773   	0.160000	2.56773   	0.160000	2.48878   	0.160000	0.0271343 	
0.180000	12.4168   	0.180000	2.64038   	0.180000	2.71593   	0.180000	2.71593   	0.180000	2.61536   	0.180000	0.0250144 	
0.200000	12.7217   	0.200000	2.76272   	0.200000	2.84266   	0.200000	2.84266   	0.200000	2.73948   	0.200000	0.0232366 	
0.250000	13.0619   	0.250000	3.00471   	0.250000	3.08293   	0.250000	3.08293   	0.250000	2.98507   	0.250000	0.0196417 	
0.300000	13.3648   	0.300000	3.16689   	0.300000	3.24342   	0.300000	3.24342   	0.300000	3.14968   	0.300000	0.0172073 	
0.350000	13.692    	0.350000	3.29731   	0.350000	3.35186   	0.350000	3.35186   	0.350000	3.28195   	0.350000	0.0153573 	
0.400000	13.9675   	0.400000	3.40328   	0.400000	3.44808   	0.400000	3.44808   	0.400000	3.38938   	0.400000	0.0138987 	
0.450000	14.1589   	0.450000	3.48355   	0.450000	3.54866   	0.450000	3.54866   	0.450000	3.47084   	0.450000	0.0127158 	
0.500000	14.2811   	0.500000	3.54637   	0.500000	3.62514   	0.500000	3.62514   	0.500000	3.53464   	0.500000	0.0117352 	
0.600000	13.9466   	0.600000	3.65224   	0.600000	3.73149   	0.600000	3.73149   	0.600000	3.64205   	0.600000	0.010199  	
0.700000	13.4764   	0.700000	3.73399   	0.700000	3.79914   	0.700000	3.79914   	0.700000	3.72494   	0.700000	0.00904606	
0.800000	13.4212   	0.800000	3.78907   	0.800000	3.82158   	0.800000	3.82158   	0.800000	3.78093   	0.800000	0.0081458 	
0.900000	13.2935   	0.900000	3.82425   	0.900000	3.83019   	0.900000	3.83019   	0.900000	3.81683   	0.900000	0.00742143	
1.000000	13.1414   	1.000000	3.85062   	1.000000	3.83058   	1.000000	3.83058   	1.000000	3.84379   	1.000000	0.00682478	
1.250000	12.618    	1.250000	3.87025   	1.250000	3.80391   	1.250000	3.80391   	1.250000	3.86455   	1.250000	0.00570634	
1.500000	11.9561   	1.500000	3.81693   	1.500000	3.72465   	1.500000	3.72465   	1.500000	3.81201   	1.500000	0.00492313	
1.750000	11.3132   	1.750000	3.74154   	1.750000	3.64429   	1.750000	3.64429   	1.750000	3.7372    	1.750000	0.00434147	
2.000000	10.7018   	2.000000	3.65167   	2.000000	3.56243   	2.000000	3.56243   	2.000000	3.64778   	2.000000	0.00389098	
2.250000	10.1609   	2.250000	3.55977   	2.250000	3.47995   	2.250000	3.47995   	2.250000	3.55624   	2.250000	0.00353094	
2.500000	10.0526   	2.500000	3.46524   	2.500000	3.39792   	2.500000	3.39792   	2.500000	3.462     	2.500000	0.00323604	
3.000000	9.11359   	3.000000	3.28172   	3.000000	3.2384    	3.000000	3.2384    	3.000000	3.27894   	3.000000	0.00278062	
3.500000	8.33852   	3.500000	3.11582   	3.500000	3.08803   	3.500000	3.08803   	3.500000	3.11337   	3.500000	0.00244421	
4.000000	7.68949   	4.000000	2.96297   	4.000000	2.94839   	4.000000	2.94839   	4.000000	2.96079   	4.000000	0.00218478	
4.500000	7.13858   	4.500000	2.8258    	4.500000	2.81961   	4.500000	2.81961   	4.500000	2.82383   	4.500000	0.00197817	
