*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	2.17701   	0.001000	0.659824  	0.001000	0.654141  	0.001000	0.654141  	0.001000	0.207258  	0.001000	0.452565  	
0.002000	2.21088   	0.002000	0.700334  	0.002000	0.698325  	0.002000	0.698325  	0.002000	0.287076  	0.002000	0.413259  	
0.005000	2.41421   	0.005000	0.759426  	0.005000	0.769282  	0.005000	0.769282  	0.005000	0.442885  	0.005000	0.31654   	
0.008000	2.63279   	0.008000	0.819435  	0.008000	0.836929  	0.008000	0.836929  	0.008000	0.559997  	0.008000	0.259438  	
0.010000	2.7695    	0.010000	0.862164  	0.010000	0.883486  	0.010000	0.883486  	0.010000	0.629208  	0.010000	0.232957  	
0.015000	3.26288   	0.015000	0.995218  	0.015000	1.00974   	0.015000	1.00974   	0.015000	0.807353  	0.015000	0.187865  	
0.020000	3.74047   	0.020000	1.18195   	0.020000	1.16762   	0.020000	1.16762   	0.020000	1.02287   	0.020000	0.159076  	
0.025000	4.28674   	0.025000	1.3633    	0.025000	1.3349    	0.025000	1.3349    	0.025000	1.22445   	0.025000	0.138847  	
0.030000	4.78776   	0.030000	1.54029   	0.030000	1.53736   	0.030000	1.53736   	0.030000	1.41656   	0.030000	0.123732  	
0.035000	5.23307   	0.035000	1.71418   	0.035000	1.70359   	0.035000	1.70359   	0.035000	1.60224   	0.035000	0.111942  	
0.040000	5.61581   	0.040000	1.88461   	0.040000	1.8534    	0.040000	1.8534    	0.040000	1.78216   	0.040000	0.10245   	
0.045000	5.92888   	0.045000	2.04491   	0.045000	1.99678   	0.045000	1.99678   	0.045000	1.95029   	0.045000	0.0946195 	
0.050000	6.12234   	0.050000	2.19063   	0.050000	2.13693   	0.050000	2.13693   	0.050000	2.1026    	0.050000	0.0880325 	
0.055000	6.45006   	0.055000	2.32582   	0.055000	2.27417   	0.055000	2.27417   	0.055000	2.24342   	0.055000	0.0824038 	
0.060000	6.74007   	0.060000	2.45478   	0.060000	2.40781   	0.060000	2.40781   	0.060000	2.37739   	0.060000	0.0773895 	
0.070000	7.21355   	0.070000	2.69437   	0.070000	2.66192   	0.070000	2.66192   	0.070000	2.6255    	0.070000	0.0688682 	
0.080000	7.71502   	0.080000	2.91573   	0.080000	2.89681   	0.080000	2.89681   	0.080000	2.85316   	0.080000	0.0625649 	
0.090000	8.1267    	0.090000	3.11683   	0.090000	3.11118   	0.090000	3.11118   	0.090000	3.0594    	0.090000	0.0574211 	
0.100000	8.4477    	0.100000	3.29231   	0.100000	3.30592   	0.100000	3.30592   	0.100000	3.23917   	0.100000	0.0531347 	
0.120000	8.66524   	0.120000	3.55792   	0.120000	3.64302   	0.120000	3.64302   	0.120000	3.51155   	0.120000	0.0463784 	
0.140000	8.81184   	0.140000	3.78179   	0.140000	3.92192   	0.140000	3.92192   	0.140000	3.74052   	0.140000	0.0412748 	
0.160000	8.94407   	0.160000	3.97304   	0.160000	4.15475   	0.160000	4.15475   	0.160000	3.93577   	0.160000	0.0372691 	
0.180000	9.08532   	0.180000	4.13957   	0.180000	4.35095   	0.180000	4.35095   	0.180000	4.10555   	0.180000	0.0340264 	
0.200000	9.30834   	0.200000	4.31193   	0.200000	4.51772   	0.200000	4.51772   	0.200000	4.28058   	0.200000	0.031352  	
0.250000	9.55718   	0.250000	4.6651    	0.250000	4.83861   	0.250000	4.83861   	0.250000	4.63879   	0.250000	0.0263156 	
0.300000	9.77876   	0.300000	4.91469   	0.300000	5.0631    	0.300000	5.0631    	0.300000	4.89192   	0.300000	0.0227699 	
0.350000	10.0181   	0.350000	5.12202   	0.350000	5.22299   	0.350000	5.22299   	0.350000	5.10189   	0.350000	0.0201259 	
0.400000	10.2197   	0.400000	5.28223   	0.400000	5.37595   	0.400000	5.37595   	0.400000	5.26416   	0.400000	0.0180717 	
0.450000	10.3597   	0.450000	5.39519   	0.450000	5.52587   	0.450000	5.52587   	0.450000	5.37877   	0.450000	0.0164256 	
0.500000	10.4491   	0.500000	5.4731    	0.500000	5.6353    	0.500000	5.6353    	0.500000	5.45802   	0.500000	0.0150743 	
0.600000	10.2043   	0.600000	5.58867   	0.600000	5.76767   	0.600000	5.76767   	0.600000	5.57568   	0.600000	0.0129821 	
0.700000	9.86033   	0.700000	5.64742   	0.700000	5.82252   	0.700000	5.82252   	0.700000	5.63599   	0.700000	0.0114319 	
0.800000	9.81992   	0.800000	5.66631   	0.800000	5.79681   	0.800000	5.79681   	0.800000	5.65608   	0.800000	0.0102337 	
0.900000	9.72644   	0.900000	5.65382   	0.900000	5.74614   	0.900000	5.74614   	0.900000	5.64455   	0.900000	0.00927754	
1.000000	9.61519   	1.000000	5.63029   	1.000000	5.68156   	1.000000	5.68156   	1.000000	5.6218    	1.000000	0.00849544	
1.250000	9.23222   	1.250000	5.49343   	1.250000	5.48684   	1.250000	5.48684   	1.250000	5.48639   	1.250000	0.00704315	
1.500000	8.7479    	1.500000	5.28699   	1.500000	5.2431    	1.500000	5.2431    	1.500000	5.28095   	1.500000	0.00603733	
1.750000	8.27748   	1.750000	5.07806   	1.750000	5.02221   	1.750000	5.02221   	1.750000	5.07276   	1.750000	0.00529663	
2.000000	7.83012   	2.000000	4.87262   	2.000000	4.82039   	2.000000	4.82039   	2.000000	4.8679    	2.000000	0.00472686	
2.250000	7.43436   	2.250000	4.68422   	2.250000	4.63507   	2.250000	4.63507   	2.250000	4.67995   	2.250000	0.00427402	
2.500000	7.35512   	2.500000	4.50587   	2.500000	4.46425   	2.500000	4.46425   	2.500000	4.50196   	2.500000	0.00390488	
3.000000	6.66809   	3.000000	4.18615   	3.000000	4.15986   	3.000000	4.15986   	3.000000	4.18281   	3.000000	0.00333809	
3.500000	6.101     	3.500000	3.91562   	3.500000	3.89689   	3.500000	3.89689   	3.500000	3.9127    	3.500000	0.00292211	
4.000000	5.62613   	4.000000	3.67936   	4.000000	3.66753   	4.000000	3.66753   	4.000000	3.67675   	4.000000	0.002603  	
4.500000	5.22304   	4.500000	3.4748    	4.500000	3.46576   	4.500000	3.46576   	4.500000	3.47246   	4.500000	0.00234996	
5.000000	4.87671   	5.000000	3.29574   	5.000000	3.28687   	5.000000	3.28687   	5.000000	3.29359   	5.000000	0.0021441 	
5.500000	4.57593   	5.500000	3.13538   	5.500000	3.12714   	5.500000	3.12714   	5.500000	3.13341   	5.500000	0.00197314	
6.000000	4.31222   	6.000000	2.99206   	6.000000	2.98361   	6.000000	2.98361   	6.000000	2.99023   	6.000000	0.00182876	
6.500000	4.07908   	6.500000	2.8629    	6.500000	2.85389   	6.500000	2.85389   	6.500000	2.8612    	6.500000	0.00170511	
7.000000	3.87144   	7.000000	2.74582   	7.000000	2.73604   	7.000000	2.73604   	7.000000	2.74422   	7.000000	0.00159795	
7.500000	3.68529   	7.500000	2.6382    	7.500000	2.62847   	7.500000	2.62847   	7.500000	2.6367    	7.500000	0.00150414	
8.000000	3.51742   	8.000000	2.53969   	8.000000	2.52986   	8.000000	2.52986   	8.000000	2.53827   	8.000000	0.00142128	
8.500000	3.36523   	8.500000	2.44911   	8.500000	2.43911   	8.500000	2.43911   	8.500000	2.44776   	8.500000	0.00134754	
9.000000	3.2266    	9.000000	2.3655    	9.000000	2.3553    	9.000000	2.3553    	9.000000	2.36422   	9.000000	0.00128145	
9.500000	3.09977   	9.500000	2.28805   	9.500000	2.27763   	9.500000	2.27763   	9.500000	2.28682   	9.500000	0.00122188	
10.000000	2.98326   	10.000000	2.23292   	10.000000	2.20545   	10.000000	2.20545   	10.000000	2.23176   	10.000000	0.00116788	
11.000000	2.77653   	11.000000	2.10443   	11.000000	2.07663   	11.000000	2.08172   	11.000000	2.10335   	11.000000	0.00107368	
12.000000	2.59862   	12.000000	1.98962   	12.000000	1.96295   	12.000000	1.97156   	12.000000	1.98862   	12.000000	0.000994234	
13.000000	2.44382   	13.000000	1.88667   	13.000000	1.86188   	13.000000	1.87289   	13.000000	1.88574   	13.000000	0.000926267	
14.000000	2.30785   	14.000000	1.794     	14.000000	1.77132   	14.000000	1.78398   	14.000000	1.79313   	14.000000	0.000867423	
15.000000	2.18742   	15.000000	1.71023   	15.000000	1.68963   	15.000000	1.70343   	15.000000	1.70942   	15.000000	0.000815954	
16.000000	2.07998   	16.000000	1.63421   	16.000000	1.6156    	16.000000	1.63011   	16.000000	1.63344   	16.000000	0.000770533	
17.000000	1.9835    	17.000000	1.56496   	17.000000	1.54821   	17.000000	1.56306   	17.000000	1.56423   	17.000000	0.000730138	
18.000000	1.89638   	18.000000	1.50163   	18.000000	1.48649   	18.000000	1.5015    	18.000000	1.50093   	18.000000	0.000693965	
19.000000	1.81728   	19.000000	1.44352   	19.000000	1.42972   	19.000000	1.44476   	19.000000	1.44286   	19.000000	0.000661374	
20.000000	1.74513   	20.000000	1.39002   	20.000000	1.37733   	20.000000	1.3923    	20.000000	1.38939   	20.000000	0.000631851	
21.000000	1.67905   	21.000000	1.34062   	21.000000	1.32884   	21.000000	1.34364   	21.000000	1.34001   	21.000000	0.000604975	
22.000000	1.61829   	22.000000	1.29487   	22.000000	1.28382   	22.000000	1.29837   	22.000000	1.29429   	22.000000	0.000580399	
23.000000	1.56222   	23.000000	1.25238   	23.000000	1.24191   	23.000000	1.25613   	23.000000	1.25182   	23.000000	0.000557837	
24.000000	1.5103    	24.000000	1.21282   	24.000000	1.20279   	24.000000	1.21664   	24.000000	1.21228   	24.000000	0.000537045	
25.000000	1.4621    	25.000000	1.1759    	25.000000	1.16617   	25.000000	1.17963   	25.000000	1.17538   	25.000000	0.000517821	
27.000000	1.3753    	27.000000	1.109     	27.000000	1.09955   	27.000000	1.11213   	27.000000	1.10852   	27.000000	0.000483404	
29.000000	1.29929   	29.000000	1.04999   	29.000000	1.04043   	29.000000	1.05211   	29.000000	1.04954   	29.000000	0.000453473	
31.000000	1.23216   	31.000000	0.997555  	31.000000	0.988551  	31.000000	0.998825  	31.000000	0.997128  	31.000000	0.000427191	
33.000000	1.1724    	33.000000	0.950656  	33.000000	0.94295   	33.000000	0.951582  	33.000000	0.950252  	33.000000	0.000403919	
35.000000	1.11884   	35.000000	0.908458  	35.000000	0.901873  	35.000000	0.909184  	35.000000	0.908075  	35.000000	0.000383163	
38.000000	1.04816   	38.000000	0.852537  	38.000000	0.847497  	38.000000	0.853128  	38.000000	0.852181  	38.000000	0.000355905	
41.000000	0.986947  	41.000000	0.803917  	41.000000	0.800137  	41.000000	0.804489  	41.000000	0.803585  	41.000000	0.000332425	
44.000000	0.933387  	44.000000	0.761251  	44.000000	0.758564  	44.000000	0.761861  	44.000000	0.760939  	44.000000	0.000311979	
47.000000	0.886109  	47.000000	0.723503  	47.000000	0.721688  	47.000000	0.724175  	47.000000	0.723209  	47.000000	0.000294005	
50.000000	0.84405   	50.000000	0.689863  	50.000000	0.688787  	50.000000	0.690604  	50.000000	0.689585  	50.000000	0.000278076	
55.000000	0.783364  	55.000000	0.641244  	55.000000	0.641078  	55.000000	0.64209   	55.000000	0.640989  	55.000000	0.000255192	
60.000000	0.732036  	60.000000	0.600067  	60.000000	0.600698  	60.000000	0.600986  	60.000000	0.599831  	60.000000	0.000235931	
65.000000	0.688019  	65.000000	0.564732  	65.000000	0.565894  	65.000000	0.565691  	65.000000	0.564513  	65.000000	0.000219485	
70.000000	0.64983   	70.000000	0.534069  	70.000000	0.53557   	70.000000	0.535035  	70.000000	0.533863  	70.000000	0.000205271	
75.000000	0.616362  	75.000000	0.5072    	75.000000	0.509011  	75.000000	0.508148  	75.000000	0.507007  	75.000000	0.000192858	
80.000000	0.586774  	80.000000	0.483457  	80.000000	0.485442  	80.000000	0.484364  	80.000000	0.483275  	80.000000	0.00018192	
85.000000	0.560416  	85.000000	0.462319  	85.000000	0.464422  	85.000000	0.463169  	85.000000	0.462147  	85.000000	0.000172204	
90.000000	0.536775  	90.000000	0.443377  	90.000000	0.445559  	90.000000	0.444156  	90.000000	0.443213  	90.000000	0.000163516	
95.000000	0.515444  	95.000000	0.426301  	95.000000	0.428533  	95.000000	0.427     	95.000000	0.426146  	95.000000	0.000155696	
100.000000	0.496091  	100.000000	0.410828  	100.000000	0.413084  	100.000000	0.411438  	100.000000	0.410679  	100.000000	0.000148621	
105.000000	0.47845   	105.000000	0.396739  	105.000000	0.399006  	105.000000	0.397256  	105.000000	0.396597  	105.000000	0.000142186	
110.000000	0.462296  	110.000000	0.383855  	110.000000	0.386062  	110.000000	0.384276  	110.000000	0.383719  	110.000000	0.000136308	
115.000000	0.447445  	115.000000	0.372027  	115.000000	0.374201  	115.000000	0.372351  	115.000000	0.371896  	115.000000	0.000130915	
120.000000	0.433742  	120.000000	0.361129  	120.000000	0.36326   	120.000000	0.361354  	120.000000	0.361003  	120.000000	0.000125951	
125.000000	0.421056  	125.000000	0.351055  	125.000000	0.353097  	125.000000	0.351181  	125.000000	0.350933  	125.000000	0.000121364	
130.000000	0.409275  	130.000000	0.341713  	130.000000	0.343678  	130.000000	0.341743  	130.000000	0.341596  	130.000000	0.000117114	
135.000000	0.398302  	135.000000	0.333027  	135.000000	0.334949  	135.000000	0.33296   	135.000000	0.332914  	135.000000	0.000113163	
140.000000	0.388056  	140.000000	0.324929  	140.000000	0.326786  	140.000000	0.324769  	140.000000	0.32482   	140.000000	0.00010948	
145.000000	0.378465  	145.000000	0.317362  	145.000000	0.31913   	145.000000	0.317109  	145.000000	0.317255  	145.000000	0.00010604	
150.000000	0.369466  	150.000000	0.310273  	150.000000	0.311961  	150.000000	0.309931  	150.000000	0.31017   	150.000000	0.000102817	
155.000000	0.35679   	155.000000	0.30362   	155.000000	0.305228  	155.000000	0.30319   	155.000000	0.30352   	155.000000	9.97932e-05	
160.000000	0.349363  	160.000000	0.297362  	160.000000	0.298892  	160.000000	0.296849  	160.000000	0.297266  	160.000000	9.6949e-05	
165.000000	0.342358  	165.000000	0.291467  	165.000000	0.292919  	165.000000	0.290871  	165.000000	0.291372  	165.000000	9.4269e-05	
170.000000	0.33574   	170.000000	0.285902  	170.000000	0.287279  	170.000000	0.285227  	170.000000	0.28581   	170.000000	9.17391e-05	
175.000000	0.329478  	175.000000	0.280641  	175.000000	0.281944  	175.000000	0.279889  	175.000000	0.280551  	175.000000	8.9347e-05	
180.000000	0.323543  	180.000000	0.275659  	180.000000	0.276891  	180.000000	0.274834  	180.000000	0.275572  	180.000000	8.70815e-05	
185.000000	0.31791   	185.000000	0.270935  	185.000000	0.272098  	185.000000	0.270039  	185.000000	0.27085   	185.000000	8.49327e-05	
190.000000	0.312556  	190.000000	0.26645   	190.000000	0.267544  	190.000000	0.265485  	190.000000	0.266367  	190.000000	8.28917e-05	
195.000000	0.30746   	195.000000	0.262185  	195.000000	0.263217  	195.000000	0.261154  	195.000000	0.262104  	195.000000	8.09504e-05	
200.000000	0.302605  	200.000000	0.258125  	200.000000	0.259096  	200.000000	0.257031  	200.000000	0.258046  	200.000000	7.91017e-05	
210.000000	0.29355   	210.000000	0.250563  	210.000000	0.251381  	210.000000	0.249349  	210.000000	0.250487  	210.000000	7.56561e-05	
220.000000	0.285274  	220.000000	0.243663  	220.000000	0.244364  	220.000000	0.24234   	220.000000	0.243591  	220.000000	7.25095e-05	
230.000000	0.277679  	230.000000	0.237344  	230.000000	0.237942  	230.000000	0.235918  	230.000000	0.237274  	230.000000	6.96241e-05	
240.000000	0.270684  	240.000000	0.231534  	240.000000	0.232039  	240.000000	0.230014  	240.000000	0.231467  	240.000000	6.69683e-05	
250.000000	0.26422   	250.000000	0.226174  	250.000000	0.226572  	250.000000	0.224569  	250.000000	0.22611   	250.000000	6.45153e-05	
260.000000	0.258229  	260.000000	0.221216  	260.000000	0.221513  	260.000000	0.219531  	260.000000	0.221154  	260.000000	6.22425e-05	
270.000000	0.252661  	270.000000	0.216615  	270.000000	0.216842  	270.000000	0.214858  	270.000000	0.216555  	270.000000	6.01305e-05	
280.000000	0.247473  	280.000000	0.212335  	280.000000	0.212491  	280.000000	0.210511  	280.000000	0.212277  	280.000000	5.81625e-05	
290.000000	0.242627  	290.000000	0.208344  	290.000000	0.208413  	290.000000	0.206458  	290.000000	0.208288  	290.000000	5.63242e-05	
300.000000	0.23809   	300.000000	0.204614  	300.000000	0.204616  	300.000000	0.202672  	300.000000	0.20456   	300.000000	5.46029e-05	
310.000000	0.233834  	310.000000	0.201121  	310.000000	0.201066  	310.000000	0.199127  	310.000000	0.201068  	310.000000	5.29878e-05	
320.000000	0.229833  	320.000000	0.197842  	320.000000	0.197717  	320.000000	0.1958    	320.000000	0.197791  	320.000000	5.14691e-05	
330.000000	0.226067  	330.000000	0.19476   	330.000000	0.194579  	330.000000	0.192674  	330.000000	0.19471   	330.000000	5.00383e-05	
340.000000	0.222514  	340.000000	0.191857  	340.000000	0.191637  	340.000000	0.189731  	340.000000	0.191809  	340.000000	4.8688e-05	
350.000000	0.219158  	350.000000	0.189119  	350.000000	0.188861  	350.000000	0.186956  	350.000000	0.189072  	350.000000	4.74114e-05	
360.000000	0.215982  	360.000000	0.186532  	360.000000	0.186227  	360.000000	0.184334  	360.000000	0.186486  	360.000000	4.62026e-05	
370.000000	0.212974  	370.000000	0.184085  	370.000000	0.183732  	370.000000	0.181859  	370.000000	0.18404   	370.000000	4.50563e-05	
380.000000	0.21012   	380.000000	0.181767  	380.000000	0.181382  	380.000000	0.179515  	380.000000	0.181723  	380.000000	4.39676e-05	
390.000000	0.207409  	390.000000	0.179568  	390.000000	0.179159  	390.000000	0.177293  	390.000000	0.179525  	390.000000	4.29323e-05	
400.000000	0.204831  	400.000000	0.17748   	400.000000	0.177038  	400.000000	0.175185  	400.000000	0.177438  	400.000000	4.19465e-05	
410.000000	0.202377  	410.000000	0.175494  	410.000000	0.175018  	410.000000	0.173181  	410.000000	0.175453  	410.000000	4.10067e-05	
420.000000	0.200038  	420.000000	0.173604  	420.000000	0.173103  	420.000000	0.171275  	420.000000	0.173564  	420.000000	4.01097e-05	
430.000000	0.197806  	430.000000	0.171803  	430.000000	0.171282  	430.000000	0.16946   	430.000000	0.171764  	430.000000	3.92525e-05	
440.000000	0.195675  	440.000000	0.170086  	440.000000	0.169545  	440.000000	0.16773   	440.000000	0.170047  	440.000000	3.84327e-05	
450.000000	0.193639  	450.000000	0.168446  	450.000000	0.167887  	450.000000	0.166081  	450.000000	0.168409  	450.000000	3.76476e-05	
460.000000	0.19169   	460.000000	0.16688   	460.000000	0.166299  	460.000000	0.164506  	460.000000	0.166843  	460.000000	3.68953e-05	
470.000000	0.189825  	470.000000	0.165382  	470.000000	0.164782  	470.000000	0.163001  	470.000000	0.165346  	470.000000	3.61735e-05	
480.000000	0.188038  	480.000000	0.163948  	480.000000	0.163336  	480.000000	0.161562  	480.000000	0.163913  	480.000000	3.54805e-05	
490.000000	0.186324  	490.000000	0.162575  	490.000000	0.161957  	490.000000	0.160184  	490.000000	0.16254   	490.000000	3.48146e-05	
500.000000	0.18468   	500.000000	0.161259  	500.000000	0.160635  	500.000000	0.158864  	500.000000	0.161225  	500.000000	3.41742e-05	
520.000000	0.181584  	520.000000	0.158785  	520.000000	0.158136  	520.000000	0.156385  	520.000000	0.158752  	520.000000	3.29641e-05	
540.000000	0.178723  	540.000000	0.156503  	540.000000	0.155841  	540.000000	0.154101  	540.000000	0.156471  	540.000000	3.18398e-05	
560.000000	0.176073  	560.000000	0.154394  	560.000000	0.153728  	560.000000	0.151991  	560.000000	0.154363  	560.000000	3.07925e-05	
580.000000	0.173613  	580.000000	0.152439  	580.000000	0.151759  	580.000000	0.150038  	580.000000	0.152409  	580.000000	2.98143e-05	
600.000000	0.171325  	600.000000	0.150623  	600.000000	0.149928  	600.000000	0.148226  	600.000000	0.150594  	600.000000	2.88986e-05	
620.000000	0.169192  	620.000000	0.148935  	620.000000	0.148232  	620.000000	0.146543  	620.000000	0.148907  	620.000000	2.80395e-05	
640.000000	0.167202  	640.000000	0.147361  	640.000000	0.146662  	640.000000	0.144975  	640.000000	0.147334  	640.000000	2.72318e-05	
