*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	1.49865e-05	0.001000	1.56543e-05	0.001000	1.59165e-05	0.001000	1.59165e-05	0.001000	4.51143e-06	0.001000	1.11428e-05	
0.002000	1.52197e-05	0.002000	1.42787e-05	0.002000	1.5179e-05	0.002000	1.5179e-05	0.002000	5.8506e-06	0.002000	8.42807e-06	
0.005000	1.66194e-05	0.005000	1.34142e-05	0.005000	1.58386e-05	0.005000	1.58386e-05	0.005000	8.24951e-06	0.005000	5.16466e-06	
0.008000	1.81241e-05	0.008000	1.36914e-05	0.008000	1.73534e-05	0.008000	1.73534e-05	0.008000	9.8395e-06	0.008000	3.85188e-06	
0.010000	1.90652e-05	0.010000	1.40226e-05	0.010000	1.84195e-05	0.010000	1.84195e-05	0.010000	1.06983e-05	0.010000	3.32435e-06	
0.015000	2.24616e-05	0.015000	1.49701e-05	0.015000	2.10026e-05	0.015000	2.10026e-05	0.015000	1.24551e-05	0.015000	2.51494e-06	
0.020000	2.57493e-05	0.020000	1.59027e-05	0.020000	2.33764e-05	0.020000	2.33764e-05	0.020000	1.3874e-05	0.020000	2.0287e-06	
0.025000	2.95098e-05	0.025000	1.69552e-05	0.025000	2.56011e-05	0.025000	2.56011e-05	0.025000	1.52326e-05	0.025000	1.72267e-06	
0.030000	3.29588e-05	0.030000	2.11267e-05	0.030000	2.8411e-05	0.030000	2.8411e-05	0.030000	1.96232e-05	0.030000	1.50345e-06	
0.035000	3.60243e-05	0.035000	2.53871e-05	0.035000	3.12081e-05	0.035000	3.12081e-05	0.035000	2.40493e-05	0.035000	1.33788e-06	
0.040000	3.86591e-05	0.040000	2.95205e-05	0.040000	3.39791e-05	0.040000	3.39791e-05	0.040000	2.83126e-05	0.040000	1.20793e-06	
0.045000	4.08143e-05	0.045000	3.3466e-05	0.045000	3.67138e-05	0.045000	3.67138e-05	0.045000	3.2363e-05	0.045000	1.10296e-06	
0.050000	4.2146e-05	0.050000	3.72195e-05	0.050000	3.94037e-05	0.050000	3.94037e-05	0.050000	3.62033e-05	0.050000	1.0162e-06	
0.055000	4.44021e-05	0.055000	4.0801e-05	0.055000	4.20419e-05	0.055000	4.20419e-05	0.055000	3.98578e-05	0.055000	9.4318e-07	
0.060000	4.63984e-05	0.060000	4.38881e-05	0.060000	4.46226e-05	0.060000	4.46226e-05	0.060000	4.30073e-05	0.060000	8.80783e-07	
0.070000	4.96579e-05	0.070000	4.93222e-05	0.070000	4.95917e-05	0.070000	4.95917e-05	0.070000	4.85427e-05	0.070000	7.79558e-07	
0.080000	5.311e-05 	0.080000	5.43648e-05	0.080000	5.42802e-05	0.080000	5.42802e-05	0.080000	5.36641e-05	0.080000	7.00759e-07	
0.090000	5.5944e-05	0.090000	5.90414e-05	0.090000	5.86681e-05	0.090000	5.86681e-05	0.090000	5.84039e-05	0.090000	6.37517e-07	
0.100000	5.81538e-05	0.100000	6.33559e-05	0.100000	6.27441e-05	0.100000	6.27441e-05	0.100000	6.27704e-05	0.100000	5.85536e-07	
0.120000	5.96513e-05	0.120000	7.02252e-05	0.120000	6.99531e-05	0.120000	6.99531e-05	0.120000	6.97203e-05	0.120000	5.0492e-07	
0.140000	6.06605e-05	0.140000	7.55005e-05	0.140000	7.5946e-05	0.140000	7.5946e-05	0.140000	7.50555e-05	0.140000	4.45089e-07	
0.160000	6.15708e-05	0.160000	7.99144e-05	0.160000	8.08226e-05	0.160000	8.08226e-05	0.160000	7.95157e-05	0.160000	3.98776e-07	
0.180000	6.25432e-05	0.180000	8.35991e-05	0.180000	8.47137e-05	0.180000	8.47137e-05	0.180000	8.32374e-05	0.180000	3.61777e-07	
0.200000	6.40784e-05	0.200000	8.69652e-05	0.200000	8.77594e-05	0.200000	8.77594e-05	0.200000	8.66338e-05	0.200000	3.31485e-07	
0.250000	6.57914e-05	0.250000	9.39708e-05	0.250000	9.25396e-05	0.250000	9.25396e-05	0.250000	9.36957e-05	0.250000	2.75159e-07	
0.300000	6.73167e-05	0.300000	9.81699e-05	0.300000	9.46072e-05	0.300000	9.46072e-05	0.300000	9.79338e-05	0.300000	2.36089e-07	
0.350000	6.89645e-05	0.350000	0.000101009	0.350000	9.51336e-05	0.350000	9.51336e-05	0.350000	0.000100801	0.350000	2.07282e-07	
0.400000	7.03519e-05	0.400000	0.000102996	0.400000	9.52146e-05	0.400000	9.52146e-05	0.400000	0.000102811	0.400000	1.85101e-07	
0.450000	7.1316e-05	0.450000	0.00010396	0.450000	9.58256e-05	0.450000	9.58256e-05	0.450000	0.000103793	0.450000	1.67458e-07	
0.500000	7.19315e-05	0.500000	0.000104223	0.500000	9.58594e-05	0.500000	9.58594e-05	0.500000	0.00010407	0.500000	1.53066e-07	
0.600000	7.02462e-05	0.600000	0.000103822	0.600000	9.4975e-05	0.600000	9.4975e-05	0.600000	0.000103691	0.600000	1.3095e-07	
0.700000	6.78782e-05	0.700000	0.000102659	0.700000	9.34662e-05	0.700000	9.34662e-05	0.700000	0.000102545	0.700000	1.14703e-07	
0.800000	6.76001e-05	0.800000	0.000100816	0.800000	9.11794e-05	0.800000	9.11794e-05	0.800000	0.000100714	0.800000	1.0223e-07	
0.900000	6.69566e-05	0.900000	9.86169e-05	0.900000	8.88344e-05	0.900000	8.88344e-05	0.900000	9.85245e-05	0.900000	9.23328e-08	
1.000000	6.61908e-05	1.000000	9.64044e-05	1.000000	8.65822e-05	1.000000	8.65822e-05	1.000000	9.63201e-05	1.000000	8.42766e-08	
1.250000	6.35544e-05	1.250000	9.08057e-05	1.250000	8.13511e-05	1.250000	8.13511e-05	1.250000	9.07363e-05	1.250000	6.94155e-08	
1.500000	6.02203e-05	1.500000	8.47053e-05	1.500000	7.60254e-05	1.500000	7.60254e-05	1.500000	8.46461e-05	1.500000	5.92041e-08	
1.750000	5.6982e-05	1.750000	7.91923e-05	1.750000	7.15343e-05	1.750000	7.15343e-05	1.750000	7.91405e-05	1.750000	5.17304e-08	
2.000000	5.39024e-05	2.000000	7.41817e-05	2.000000	6.76248e-05	2.000000	6.76248e-05	2.000000	7.41357e-05	2.000000	4.601e-08 	
2.250000	5.1178e-05	2.250000	6.97698e-05	2.250000	6.41587e-05	2.250000	6.41587e-05	2.250000	6.97283e-05	2.250000	4.14826e-08	
2.500000	5.06324e-05	2.500000	6.57969e-05	2.500000	6.10498e-05	2.500000	6.10498e-05	2.500000	6.57591e-05	2.500000	3.78051e-08	
3.000000	4.5903e-05	3.000000	5.90308e-05	3.000000	5.56808e-05	3.000000	5.56808e-05	3.000000	5.89986e-05	3.000000	3.21832e-08	
