Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	2.91274e-05	0.001000	3.04252e-05	0.001000	3.0935e-05	0.001000	3.0935e-05	0.001000	8.7683e-06	0.001000	2.16569e-05	
0.002000	2.95805e-05	0.002000	2.77517e-05	0.002000	2.95015e-05	0.002000	2.95015e-05	0.002000	1.13711e-05	0.002000	1.63806e-05	
0.005000	3.2301e-05	0.005000	2.60714e-05	0.005000	3.07835e-05	0.005000	3.07835e-05	0.005000	1.60335e-05	0.005000	1.00379e-05	
0.008000	3.52255e-05	0.008000	2.66102e-05	0.008000	3.37276e-05	0.008000	3.37276e-05	0.008000	1.91238e-05	0.008000	7.48642e-06	
0.010000	3.70546e-05	0.010000	2.7254e-05	0.010000	3.57996e-05	0.010000	3.57996e-05	0.010000	2.07929e-05	0.010000	6.46113e-06	
0.015000	4.36558e-05	0.015000	2.90955e-05	0.015000	4.08201e-05	0.015000	4.08201e-05	0.015000	2.42075e-05	0.015000	4.88798e-06	
0.020000	5.00456e-05	0.020000	3.0908e-05	0.020000	4.54337e-05	0.020000	4.54337e-05	0.020000	2.69651e-05	0.020000	3.94293e-06	
0.025000	5.73545e-05	0.025000	3.29538e-05	0.025000	4.97577e-05	0.025000	4.97577e-05	0.025000	2.96056e-05	0.025000	3.34814e-06	
0.030000	6.4058e-05	0.030000	4.10612e-05	0.030000	5.52189e-05	0.030000	5.52189e-05	0.030000	3.81392e-05	0.030000	2.92207e-06	
0.035000	7.00159e-05	0.035000	4.93418e-05	0.035000	6.06553e-05	0.035000	6.06553e-05	0.035000	4.67415e-05	0.035000	2.60026e-06	
0.040000	7.51369e-05	0.040000	5.73754e-05	0.040000	6.60409e-05	0.040000	6.60409e-05	0.040000	5.50276e-05	0.040000	2.34771e-06	
0.045000	7.93256e-05	0.045000	6.50436e-05	0.045000	7.13559e-05	0.045000	7.13559e-05	0.045000	6.28999e-05	0.045000	2.14368e-06	
0.050000	8.19139e-05	0.050000	7.23389e-05	0.050000	7.6584e-05	0.050000	7.6584e-05	0.050000	7.03638e-05	0.050000	1.97507e-06	
0.055000	8.62988e-05	0.055000	7.92997e-05	0.055000	8.17116e-05	0.055000	8.17116e-05	0.055000	7.74666e-05	0.055000	1.83314e-06	
0.060000	9.01788e-05	0.060000	8.52998e-05	0.060000	8.67272e-05	0.060000	8.67272e-05	0.060000	8.35879e-05	0.060000	1.71187e-06	
0.070000	9.65138e-05	0.070000	9.58614e-05	0.070000	9.63852e-05	0.070000	9.63852e-05	0.070000	9.43463e-05	0.070000	1.51513e-06	
0.080000	0.000103223	0.080000	0.000105662	0.080000	0.000105498	0.080000	0.000105498	0.080000	0.0001043 	0.080000	1.36198e-06	
0.090000	0.000108731	0.090000	0.000114751	0.090000	0.000114026	0.090000	0.000114026	0.090000	0.000113512	0.090000	1.23906e-06	
0.100000	0.000113026	0.100000	0.000123137	0.100000	0.000121948	0.100000	0.000121948	0.100000	0.000121999	0.100000	1.13803e-06	
0.120000	0.000115937	0.120000	0.000136488	0.120000	0.000135959	0.120000	0.000135959	0.120000	0.000135507	0.120000	9.81349e-07	
0.140000	0.000117898	0.140000	0.000146741	0.140000	0.000147607	0.140000	0.000147607	0.140000	0.000145876	0.140000	8.65063e-07	
0.160000	0.000119667	0.160000	0.00015532	0.160000	0.000157085	0.160000	0.000157085	0.160000	0.000154545	0.160000	7.75051e-07	
0.180000	0.000121557	0.180000	0.000162481	0.180000	0.000164647	0.180000	0.000164647	0.180000	0.000161778	0.180000	7.03141e-07	
0.200000	0.000124541	0.200000	0.000169023	0.200000	0.000170567	0.200000	0.000170567	0.200000	0.000168379	0.200000	6.44265e-07	
0.250000	0.00012787	0.250000	0.000182639	0.250000	0.000179858	0.250000	0.000179858	0.250000	0.000182104	0.250000	5.34792e-07	
0.300000	0.000130835	0.300000	0.0001908 	0.300000	0.000183876	0.300000	0.000183876	0.300000	0.000190342	0.300000	4.58856e-07	
0.350000	0.000134038	0.350000	0.000196318	0.350000	0.000184899	0.350000	0.000184899	0.350000	0.000195915	0.350000	4.02868e-07	
0.400000	0.000136734	0.400000	0.000200181	0.400000	0.000185057	0.400000	0.000185057	0.400000	0.000199821	0.400000	3.59757e-07	
0.450000	0.000138608	0.450000	0.000202054	0.450000	0.000186244	0.450000	0.000186244	0.450000	0.000201729	0.450000	3.25467e-07	
0.500000	0.000139804	0.500000	0.000202565	0.500000	0.00018631	0.500000	0.00018631	0.500000	0.000202268	0.500000	2.97496e-07	
0.600000	0.000136529	0.600000	0.000201786	0.600000	0.000184591	0.600000	0.000184591	0.600000	0.000201531	0.600000	2.54511e-07	
0.700000	0.000131926	0.700000	0.000199526	0.700000	0.000181658	0.700000	0.000181658	0.700000	0.000199303	0.700000	2.22934e-07	
0.800000	0.000131386	0.800000	0.000195944	0.800000	0.000177214	0.800000	0.000177214	0.800000	0.000195746	0.800000	1.98691e-07	
0.900000	0.000130135	0.900000	0.000191669	0.900000	0.000172656	0.900000	0.000172656	0.900000	0.00019149	0.900000	1.79456e-07	
1.000000	0.000128647	1.000000	0.000187369	1.000000	0.000168279	1.000000	0.000168279	1.000000	0.000187205	1.000000	1.63798e-07	
1.250000	0.000123523	1.250000	0.000176488	1.250000	0.000158112	1.250000	0.000158112	1.250000	0.000176353	1.250000	1.34914e-07	
1.500000	0.000117043	1.500000	0.000164631	1.500000	0.000147761	1.500000	0.000147761	1.500000	0.000164516	1.500000	1.15068e-07	
1.750000	0.000110749	1.750000	0.000153916	1.750000	0.000139032	1.750000	0.000139032	1.750000	0.000153815	1.750000	1.00542e-07	
2.000000	0.000104763	2.000000	0.000144178	2.000000	0.000131434	2.000000	0.000131434	2.000000	0.000144088	2.000000	8.94238e-08	
2.250000	9.94682e-05	2.250000	0.000135603	2.250000	0.000124697	2.250000	0.000124697	2.250000	0.000135522	2.250000	8.06244e-08	
2.500000	9.84079e-05	2.500000	0.000127881	2.500000	0.000118655	2.500000	0.000118655	2.500000	0.000127808	2.500000	7.3477e-08	
3.000000	8.92158e-05	3.000000	0.000114731	3.000000	0.00010822	3.000000	0.00010822	3.000000	0.000114668	3.000000	6.25504e-08	
3.500000	8.16284e-05	3.500000	0.000104175	3.500000	9.95003e-05	3.500000	9.95003e-05	3.500000	0.00010412	3.500000	5.45709e-08	
4.000000	7.52748e-05	4.000000	9.53737e-05	4.000000	9.20954e-05	4.000000	9.20954e-05	4.000000	9.53252e-05	4.000000	4.84744e-08	
