* 27Al energy loss (dE/dX) in Al
* apply ZOOM for details
*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.883972  	0.001000	0.529083  	0.001000	0.52758   	0.001000	0.52758   	0.001000	0.527747  	0.001000	0.131006  	0.001000	0.398077  	
0.002000	0.868782  	0.002000	0.524742  	0.002000	0.526425  	0.002000	0.526425  	0.002000	0.526546  	0.002000	0.181458  	0.002000	0.343285  	
0.005000	0.891231  	0.005000	0.523159  	0.005000	0.533592  	0.005000	0.533592  	0.005000	0.533659  	0.005000	0.279131  	0.005000	0.244029  	
0.008000	0.9418    	0.008000	0.541546  	0.008000	0.559684  	0.008000	0.559684  	0.008000	0.55973   	0.008000	0.348132  	0.008000	0.193414  	
0.010000	0.977659  	0.010000	0.557825  	0.010000	0.5807    	0.010000	0.5807    	0.010000	0.580737  	0.010000	0.386626  	0.010000	0.171198  	
0.015000	1.13268   	0.015000	0.602662  	0.015000	0.636401  	0.015000	0.636401  	0.015000	0.636428  	0.015000	0.467794  	0.015000	0.134868  	
0.020000	1.28764   	0.020000	0.684108  	0.020000	0.738804  	0.020000	0.738804  	0.020000	0.738825  	0.020000	0.57156   	0.020000	0.112548  	
0.025000	1.46855   	0.025000	0.782974  	0.025000	0.859412  	0.025000	0.859412  	0.025000	0.859429  	0.025000	0.685737  	0.025000	0.0972369 	
0.030000	1.63899   	0.030000	0.883277  	0.030000	0.957941  	0.030000	0.957941  	0.030000	0.957956  	0.030000	0.79729   	0.030000	0.0859869 	
0.035000	1.79339   	0.035000	0.982773  	0.035000	1.05402   	0.035000	1.05402   	0.035000	1.05403   	0.035000	0.905451  	0.035000	0.0773223 	
0.040000	1.92876   	0.040000	1.08013   	0.040000	1.14649   	0.040000	1.14649   	0.040000	1.1465    	0.040000	1.00971   	0.040000	0.0704153 	
0.045000	2.04334   	0.045000	1.17398   	0.045000	1.23408   	0.045000	1.23408   	0.045000	1.23409   	0.045000	1.10982   	0.045000	0.0641642 	
0.050000	2.13642   	0.050000	1.26521   	0.050000	1.31771   	0.050000	1.31771   	0.050000	1.31772   	0.050000	1.20571   	0.050000	0.0594973 	
0.055000	2.27606   	0.055000	1.3473    	0.055000	1.3966    	0.055000	1.3966    	0.055000	1.39661   	0.055000	1.29177   	0.055000	0.0555272 	
