* 27Al energy loss (dE/dX) in B
* apply ZOOM for details
*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.768879  	0.001000	0.73737   	0.001000	0.664269  	0.001000	0.664269  	0.001000	0.664373  	0.001000	0.259639  	0.001000	0.477731  	
0.002000	0.755667  	0.002000	0.720961  	0.002000	0.64805   	0.002000	0.64805   	0.002000	0.648119  	0.002000	0.33671   	0.002000	0.384251  	
0.005000	0.775193  	0.005000	0.726413  	0.005000	0.668737  	0.005000	0.668737  	0.005000	0.668772  	0.005000	0.47477   	0.005000	0.251644  	
0.008000	0.819178  	0.008000	0.759001  	0.008000	0.720308  	0.008000	0.720308  	0.008000	0.720332  	0.008000	0.566276  	0.008000	0.192725  	
0.010000	0.850368  	0.010000	0.783862  	0.010000	0.758017  	0.010000	0.758017  	0.010000	0.758037  	0.010000	0.6157    	0.010000	0.168162  	
0.015000	0.985203  	0.015000	0.8858    	0.015000	0.85251   	0.015000	0.85251   	0.015000	0.852524  	0.015000	0.756337  	0.015000	0.129463  	
0.020000	1.11999   	0.020000	1.01754   	0.020000	0.964553  	0.020000	0.964553  	0.020000	0.964564  	0.020000	0.911023  	0.020000	0.106517  	
0.025000	1.27735   	0.025000	1.15456   	0.025000	1.08447   	0.025000	1.08447   	0.025000	1.08448   	0.025000	1.06344   	0.025000	0.0911214 	
0.030000	1.42559   	0.030000	1.29272   	0.030000	1.22149   	0.030000	1.22149   	0.030000	1.2215    	0.030000	1.21346   	0.030000	0.0792583 	
0.035000	1.55989   	0.035000	1.43122   	0.035000	1.35985   	0.035000	1.35985   	0.035000	1.35986   	0.035000	1.36036   	0.035000	0.0708664 	
0.040000	1.67764   	0.040000	1.56766   	0.040000	1.49697   	0.040000	1.49697   	0.040000	1.49697   	0.040000	1.50343   	0.040000	0.0642295 	
0.045000	1.7773    	0.045000	1.70094   	0.045000	1.6316    	0.045000	1.6316    	0.045000	1.6316    	0.045000	1.64211   	0.045000	0.0588346 	
0.050000	1.85825   	0.050000	1.83027   	0.050000	1.76283   	0.050000	1.76283   	0.050000	1.76284   	0.050000	1.77591   	0.050000	0.0543533 	
0.055000	1.97972   	0.055000	1.95506   	0.055000	1.88997   	0.055000	1.88997   	0.055000	1.88997   	0.055000	1.90449   	0.055000	0.0505652 	
0.060000	2.09015   	0.060000	2.07489   	0.060000	2.0125    	0.060000	2.0125    	0.060000	2.0125    	0.060000	2.02757   	0.060000	0.0473165 	
0.070000	2.27913   	0.070000	2.29896   	0.070000	2.24235   	0.070000	2.24235   	0.070000	2.24236   	0.070000	2.25694   	0.070000	0.0420223 	
0.080000	2.48289   	0.080000	2.50782   	0.080000	2.45068   	0.080000	2.45068   	0.080000	2.45068   	0.080000	2.46994   	0.080000	0.0378802 	
0.090000	2.65693   	0.090000	2.69403   	0.090000	2.63712   	0.090000	2.63712   	0.090000	2.63712   	0.090000	2.65949   	0.090000	0.0345422 	
0.100000	2.80657   	0.100000	2.85839   	0.100000	2.80225   	0.100000	2.80225   	0.100000	2.80225   	0.100000	2.8266    	0.100000	0.031789  	
0.120000	2.9812    	0.120000	3.1273    	0.120000	3.07375   	0.120000	3.07375   	0.120000	3.07375   	0.120000	3.0998    	0.120000	0.0275019 	
0.140000	3.11085   	0.140000	3.32849   	0.140000	3.27822   	0.140000	3.27822   	0.140000	3.27823   	0.140000	3.30418   	0.140000	0.0243057 	
0.160000	3.21369   	0.160000	3.47033   	0.160000	3.4299    	0.160000	3.4299    	0.160000	3.4299    	0.160000	3.44851   	0.160000	0.0218229 	
0.180000	3.3085    	0.180000	3.57243   	0.180000	3.5416    	0.180000	3.5416    	0.180000	3.5416    	0.180000	3.55259   	0.180000	0.0198335 	
0.200000	3.40147   	0.200000	3.64647   	0.200000	3.62379   	0.200000	3.62379   	0.200000	3.6238    	0.200000	3.62827   	0.200000	0.0182007 	
0.250000	3.51825   	0.250000	3.75542   	0.250000	3.74817   	0.250000	3.74817   	0.250000	3.74818   	0.250000	3.74026   	0.250000	0.0151545 	
0.300000	3.68259   	0.300000	3.86706   	0.300000	3.81086   	0.300000	3.81086   	0.300000	3.81086   	0.300000	3.85403   	0.300000	0.0130332 	
0.350000	3.83006   	0.350000	3.95061   	0.350000	3.86705   	0.350000	3.86705   	0.350000	3.86705   	0.350000	3.93915   	0.350000	0.0114644 	
0.400000	3.94472   	0.400000	4.00407   	0.400000	3.97235   	0.400000	3.97235   	0.400000	3.97235   	0.400000	3.99382   	0.400000	0.0102534 	
0.450000	4.03177   	0.450000	4.03856   	0.450000	4.0499    	0.450000	4.0499    	0.450000	4.0499    	0.450000	4.02927   	0.450000	0.00928834	
0.500000	4.12229   	0.500000	4.08591   	0.500000	4.10695   	0.500000	4.10695   	0.500000	4.10695   	0.500000	4.07741   	0.500000	0.00849973	
0.600000	4.10123   	0.600000	4.14595   	0.600000	4.17649   	0.600000	4.17649   	0.600000	4.17649   	0.600000	4.13866   	0.600000	0.00728531	
0.700000	4.01082   	0.700000	4.1671    	0.700000	4.19167   	0.700000	4.19167   	0.700000	4.19167   	0.700000	4.16071   	0.700000	0.00639109	
0.800000	4.02803   	0.800000	4.15549   	0.800000	4.14598   	0.800000	4.14598   	0.800000	4.14599   	0.800000	4.14979   	0.800000	0.00570327	
0.900000	4.00505   	0.900000	4.11259   	0.900000	4.09194   	0.900000	4.09194   	0.900000	4.09195   	0.900000	4.10743   	0.900000	0.00515666	
1.000000	3.96717   	1.000000	4.06129   	1.000000	4.03238   	1.000000	4.03238   	1.000000	4.03239   	1.000000	4.05658   	1.000000	0.0047111 	
1.250000	3.79481   	1.250000	3.87978   	1.250000	3.8529    	1.250000	3.8529    	1.250000	3.85291   	1.250000	3.87589   	1.250000	0.00388767	
1.500000	3.58737   	1.500000	3.67286   	1.500000	3.65922   	1.500000	3.65922   	1.500000	3.65922   	1.500000	3.66954   	1.500000	0.00332061	
1.750000	3.39529   	1.750000	3.48516   	1.750000	3.48684   	1.750000	3.48684   	1.750000	3.48684   	1.750000	3.48226   	1.750000	0.00290485	
2.000000	3.22229   	2.000000	3.31796   	2.000000	3.33123   	2.000000	3.33123   	2.000000	3.33123   	2.000000	3.31537   	2.000000	0.00258617	
2.250000	3.07565   	2.250000	3.17247   	2.250000	3.18958   	2.250000	3.18958   	2.250000	3.18959   	2.250000	3.17013   	2.250000	0.00233365	
2.500000	3.21646   	2.500000	3.04419   	2.500000	3.05991   	2.500000	3.05991   	2.500000	3.05991   	2.500000	3.04207   	2.500000	0.00212833	
3.000000	2.9471    	3.000000	2.82223   	3.000000	2.83062   	3.000000	2.83062   	3.000000	2.83063   	3.000000	2.82041   	3.000000	0.00181405	
3.500000	2.71892   	3.500000	2.63186   	3.500000	2.63408   	3.500000	2.63408   	3.500000	2.63409   	3.500000	2.63027   	3.500000	0.00158421	
4.000000	2.52416   	4.000000	2.46624   	4.000000	2.46368   	4.000000	2.46368   	4.000000	2.46368   	4.000000	2.46483   	4.000000	0.00140839	
4.500000	2.35637   	4.500000	2.32065   	4.500000	2.31449   	4.500000	2.31449   	4.500000	2.3145    	4.500000	2.31939   	4.500000	0.00126932	
5.000000	2.21048   	5.000000	2.19159   	5.000000	2.18276   	5.000000	2.18276   	5.000000	2.18276   	5.000000	2.19043   	5.000000	0.00115641	
5.500000	2.08252   	5.500000	2.0763    	5.500000	2.06557   	5.500000	2.06557   	5.500000	2.06557   	5.500000	2.07524   	5.500000	0.00106282	
6.000000	1.96939   	6.000000	1.97265   	6.000000	1.96062   	6.000000	1.96062   	6.000000	1.96062   	6.000000	1.97167   	6.000000	0.000983898	
6.500000	1.86865   	6.500000	1.87899   	6.500000	1.86606   	6.500000	1.86606   	6.500000	1.86606   	6.500000	1.87807   	6.500000	0.000916407	
7.000000	1.77837   	7.000000	1.79396   	7.000000	1.78041   	7.000000	1.78041   	7.000000	1.78041   	7.000000	1.7931    	7.000000	0.000857994	
7.500000	1.69698   	7.500000	1.71642   	7.500000	1.70246   	7.500000	1.70246   	7.500000	1.70246   	7.500000	1.71561   	7.500000	0.000806916	
8.000000	1.62322   	8.000000	1.64543   	8.000000	1.6312    	8.000000	1.6312    	8.000000	1.6312    	8.000000	1.64467   	8.000000	0.000761852	
8.500000	1.55605   	8.500000	1.58019   	8.500000	1.5658    	8.500000	1.5658    	8.500000	1.5658    	8.500000	1.57947   	8.500000	0.000721783	
9.000000	1.49462   	9.000000	1.52004   	9.000000	1.50556   	9.000000	1.50556   	9.000000	1.50556   	9.000000	1.51935   	9.000000	0.00068591	
9.500000	1.43822   	9.500000	1.4644    	9.500000	1.44988   	9.500000	1.44988   	9.500000	1.44988   	9.500000	1.46374   	9.500000	0.000653597	
10.000000	1.38624   	10.000000	1.39437   	10.000000	1.39827   	10.000000	1.39827   	10.000000	1.39827   	10.000000	1.39375   	10.000000	0.00062433	
11.000000	1.2936    	11.000000	1.30784   	11.000000	1.30324   	11.000000	1.30692   	11.000000	1.30603   	11.000000	1.30727   	11.000000	0.000573339	
12.000000	1.21345   	12.000000	1.23168   	12.000000	1.22094   	12.000000	1.22724   	12.000000	1.22562   	12.000000	1.23115   	12.000000	0.000530385	
13.000000	1.14341   	13.000000	1.16418   	13.000000	1.14899   	13.000000	1.15717   	13.000000	1.15492   	13.000000	1.16369   	13.000000	0.000493684	
14.000000	1.08164   	14.000000	1.10397   	14.000000	1.08562   	14.000000	1.09512   	14.000000	1.0923    	14.000000	1.10351   	14.000000	0.000461943	
15.000000	1.02675   	15.000000	1.04993   	15.000000	1.0294    	15.000000	1.03981   	15.000000	1.03648   	15.000000	1.0495    	15.000000	0.000434207	
16.000000	0.977629  	16.000000	1.00118   	16.000000	0.979215  	16.000000	0.990235  	16.000000	0.986445  	16.000000	1.00077   	16.000000	0.000409753	
17.000000	0.933399  	17.000000	0.956982  	17.000000	0.934148  	17.000000	0.945573  	17.000000	0.941376  	17.000000	0.956594  	17.000000	0.000388023	
18.000000	0.893356  	18.000000	0.91673   	18.000000	0.893486  	18.000000	0.905156  	18.000000	0.900574  	18.000000	0.916361  	18.000000	0.000368579	
19.000000	0.856923  	19.000000	0.879922  	19.000000	0.856645  	19.000000	0.86843   	19.000000	0.86352   	19.000000	0.879571  	19.000000	0.000351074	
20.000000	0.823625  	20.000000	0.846136  	20.000000	0.823139  	20.000000	0.834933  	20.000000	0.829755  	20.000000	0.845801  	20.000000	0.000335227	
21.000000	0.793069  	21.000000	0.815016  	21.000000	0.792556  	21.000000	0.80428   	21.000000	0.798844  	21.000000	0.814695  	21.000000	0.00032081	
22.000000	0.764925  	22.000000	0.786259  	22.000000	0.76455   	22.000000	0.776142  	22.000000	0.770513  	22.000000	0.785952  	22.000000	0.000307635	
23.000000	0.738912  	23.000000	0.759607  	23.000000	0.73882   	23.000000	0.75024   	23.000000	0.744444  	23.000000	0.759312  	23.000000	0.000295545	
24.000000	0.714795  	24.000000	0.734837  	24.000000	0.715112  	24.000000	0.726335  	24.000000	0.720415  	24.000000	0.734553  	24.000000	0.000284411	
