*Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
0.001000	0.0641491 	0.0641491 	0.0523214 	0.0523214 	-	-	0.000131089	0.000210298	9.82856e-05
93.633957	20932.5   	20720.9   	21062.5   	21085.6   	175.266   	85.0469   	56.718    	48.5753   	56.2057   
187.266914	70035.7   	69325.1   	70358.1   	70518.1   	564.518   	263.829   	183.093   	152.832   	186.191   
280.899871	138736    	137101    	139215    	139611    	1070.53   	498.628   	349.841   	291.023   	364.43    
374.532828	221680    	219028    	222552    	223264    	1640.14   	770.761   	540.521   	451.402   	575.622   
468.165785	315666    	311724    	316871    	317961    	2241.57   	1068.94   	744.879   	626.341   	809.351   
561.798742	418432    	412835    	419713    	421231    	2855.57   	1386.04   	956.401   	810.721   	1058.41   
655.431699	528235    	520587    	529234    	531220    	3470.19   	1717.32   	1170.82   	1000.93   	1317.61   
749.064655	643705    	633629    	644042    	646528    	4078.15   	2059.52   	1385.35   	1194.44   	1583.18   
842.697612	763747    	750904    	763066    	766077    	4675.06   	2410.65   	1598.18   	1389.41   	1852.39   
936.330569	887516    	871617    	885446    	889004    	5257.33   	2768.32   	1807.95   	1584.4    	2123.03   
1029.963526	1.01427e+06	995088    	1.01051e+06	1.01463e+06	5823.59   	3131.57   	2013.87   	1778.43   	2393.54   
1123.596483	1.1434e+06	1.12076e+06	1.13774e+06	1.14243e+06	6373.59   	3499.25   	2215.53   	1970.83   	2662.86   
1217.229440	1.2744e+06	1.24821e+06	1.26674e+06	1.27201e+06	6907.27   	3871.44   	2412.67   	2161.12   	2930.19   
1310.862397	1.40685e+06	1.37707e+06	1.39718e+06	1.40305e+06	7424.96   	4247.67   	2605.21   	2348.99   	3194.98   
1404.495354	1.54038e+06	1.507e+06 	1.5288e+06	1.53526e+06	7927.27   	4627.3    	2793.18   	2534.23   	3456.84   
1498.128311	1.67469e+06	1.63777e+06	1.66136e+06	1.66842e+06	8414.66   	5010.22   	2976.6    	2716.67   	3715.46   
1591.761268	1.8095e+06	1.76915e+06	1.79471e+06	1.80237e+06	8887.76   	5396.37   	3155.57   	2896.24   	3970.65   
1685.394225	1.94458e+06	1.90094e+06	1.92867e+06	1.93694e+06	9347.32   	5785.33   	3330.25   	3072.9    	4222.3    
1779.027182	2.07975e+06	2.03301e+06	2.06313e+06	2.07201e+06	9793.5    	6176.89   	3500.63   	3246.55   	4470.2    
1872.660139	2.21482e+06	2.16519e+06	2.19797e+06	2.20746e+06	10227.7   	6570.97   	3667.12   	3417.37   	4714.55   
1966.293096	2.34965e+06	2.29738e+06	2.33312e+06	2.34322e+06	10650.3   	6967.76   	3829.76   	3585.32   	4955.27   
2059.926052	2.48407e+06	2.42946e+06	2.46851e+06	2.47921e+06	11060.6   	7367.62   	3988.29   	3750.13   	5191.96   
2153.559009	2.61806e+06	2.56136e+06	2.60404e+06	2.61535e+06	11461.5   	7769.9    	4143.65   	3912.45   	5425.42   
2247.191966	2.75147e+06	2.69301e+06	2.73967e+06	2.75159e+06	11852.4   	8174.78   	4295.61   	4072.05   	5655.35   
2340.824923	2.88424e+06	2.82434e+06	2.87537e+06	2.8879e+06	12233.8   	8582.17   	4444.31   	4229      	5881.82   
2434.457880	3.01629e+06	2.9553e+06	3.0111e+06	3.02422e+06	12606.1   	8991.99   	4589.89   	4383.37   	6104.88   
2528.090837	3.14756e+06	3.08583e+06	3.14681e+06	3.16054e+06	12969.8   	9404.18   	4732.47   	4535.22   	6324.62   
2621.723794	3.278e+06 	3.21589e+06	3.28249e+06	3.29682e+06	13325.3   	9818.67   	4872.2    	4684.63   	6541.1    
2715.356751	3.40756e+06	3.34545e+06	3.41811e+06	3.43304e+06	13673     	10235.4   	5009.17   	4831.65   	6754.42   
2808.989708	3.53621e+06	3.47447e+06	3.55364e+06	3.56917e+06	14013.2   	10654.5   	5143.51   	4976.37   	6964.64   
2902.622665	3.6639e+06	3.60293e+06	3.68908e+06	3.7052e+06	14346.4   	11075.7   	5275.33   	5118.84   	7171.84   
2996.255622	3.79058e+06	3.73078e+06	3.8244e+06	3.84111e+06	14672.4   	11499.3   	5404.63   	5259.04   	7375.99   
3089.888579	3.9157e+06	3.85768e+06	3.95951e+06	3.97681e+06	14988.7   	11926.3   	5530.4    	5396.02   	7575.79   
3183.521536	4.04075e+06	3.98454e+06	4.09461e+06	4.1125e+06	15304.6   	12353.5   	5656.03   	5532.87   	7775.4    
3277.154493	4.16397e+06	4.11026e+06	4.22945e+06	4.24792e+06	15610     	12784.5   	5777.9    	5666.23   	7970.27   
3370.787449	4.2868e+06	4.23574e+06	4.36424e+06	4.38329e+06	15913.3   	13216.4   	5898.97   	5798.85   	8164.12   
3464.420406	4.40806e+06	4.36023e+06	4.49877e+06	4.5184e+06	16208.6   	13651.6   	6017.16   	5928.73   	8354.24   
3558.053363	4.52862e+06	4.48429e+06	4.6332e+06	4.65341e+06	16500.3   	14088.2   	6134.05   	6057.37   	8542.67   
3651.686320	4.6479e+06	4.60754e+06	4.76743e+06	4.7882e+06	16786.2   	14527.4   	6248.81   	6183.95   	8728.28   
3745.319277	4.76615e+06	4.73013e+06	4.90148e+06	4.92282e+06	17067.4   	14968.7   	6361.84   	6308.87   	8911.6    
3838.952234	4.88345e+06	4.85211e+06	5.03537e+06	5.05728e+06	17344.5   	15412     	6473.39   	6432.33   	9092.91   
3932.585191	4.9994e+06	4.97323e+06	5.16903e+06	5.19151e+06	17615.9   	15858     	6582.86   	6553.75   	9271.42   
4026.218148	5.11471e+06	5.09393e+06	5.30258e+06	5.32563e+06	17884.8   	16305.3   	6691.41   	6674.25   	9448.65   
4119.851105	5.22837e+06	5.21356e+06	5.43585e+06	5.45945e+06	18147.3   	16756     	6797.59   	6792.38   	9622.61   
4213.484062	5.3417e+06	5.33297e+06	5.56905e+06	5.59322e+06	18408.6   	17207.3   	6903.33   	6910.07   	9795.95   
4307.117019	5.45308e+06	5.45112e+06	5.70191e+06	5.72664e+06	18662.8   	17662.5   	7006.45   	7025.12   	9965.63   
4400.749976	5.56444e+06	5.56925e+06	5.83476e+06	5.86005e+06	18916.9   	18117.7   	7109.55   	7140.14   	10135.3   
4494.382933	5.67357e+06	5.68592e+06	5.96722e+06	5.99306e+06	19163.4   	18577.5   	7209.84   	7252.28   	10300.9   
4588.015890	5.7827e+06	5.80259e+06	6.09967e+06	6.12607e+06	19409.9   	19037.3   	7310.13   	7364.42   	10466.5   
4681.648846	5.8899e+06	5.91797e+06	6.23177e+06	6.25872e+06	19650.2   	19500.9   	7408.11   	7474.17   	10628.8   
4775.281803	5.99682e+06	6.03317e+06	6.36383e+06	6.39133e+06	19889.5   	19965.1   	7505.76   	7583.57   	10790.7   
4868.914760	6.10214e+06	6.1473e+06	6.49558e+06	6.52363e+06	20124     	20432.6   	7601.59   	7691.06   	10949.8   
4962.547717	6.20688e+06	6.26104e+06	6.62724e+06	6.65584e+06	20356.7   	20901.2   	7696.78   	7797.88   	11108     
5056.180674	6.31018e+06	6.37382e+06	6.75862e+06	6.78777e+06	20585.2   	21372.8   	7790.42   	7903.06   	11263.9   
5149.813631	6.41253e+06	6.48595e+06	6.88983e+06	6.91952e+06	20810.9   	21846.3   	7883.04   	8007.14   	11418.3   
5243.446588	6.51487e+06	6.59808e+06	7.02104e+06	7.05127e+06	21036.6   	22319.8   	7975.65   	8111.22   	11572.6   
5337.079545	6.6148e+06	6.70858e+06	7.1518e+06	7.18257e+06	21255.6   	22798.3   	8065.8    	8212.66   	11723.3   
5430.712502	6.71455e+06	6.81895e+06	7.28252e+06	7.31384e+06	21474.2   	23277.1   	8155.77   	8313.9    	11873.7   
5524.345459	6.81332e+06	6.92865e+06	7.41307e+06	7.44492e+06	21690.2   	23758     	8244.81   	8414.13   	12022.6   
